compound,smiles,source_herb,traditional_use
EGCG,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(OC(=O)c1cc(O)c(O)c(O)c1)C2,녹차 (C. sinensis),photoaging + multi-target
Epicatechin,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,녹차,catechin
Epigallocatechin,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,녹차,catechin
Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,포도 / reference,SIRT1 activator
Pterostilbene,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,blueberry,SIRT1 modulator
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,강황,multi-target
Astragaloside IV,CC1(C)CCC2(CC1OC1OC(CO)C(O)C(O)C1OC1OCC(O)C1O)C1CC=C3C4(C)C(O)CCC4(CO)CCC3(C)C12,황기 (A. membranaceus),anti-aging
Niacinamide,NC(=O)c1cccnc1,reference cosmetic,SIRT1 / NAD precursor
Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,reference / 당귀,antioxidant
Ascorbic acid,OC[C@H](O)C1=C(O)C(=O)O[C@H]1O,reference (vitamin C),collagen synthesis support
Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,reference drug,gold-standard photoaging
Asiaticoside,OC[C@H]1O[C@@H](OC(=O)C2(C)CCC3(C)CCC4(C)CCC(C)(C)C(O)C4(C)C3CCC2C1)[C@H](O)[C@@H](O)[C@@H]1O,센텔라 (C. asiatica),collagen synthesis
EMB-3,CCCCCC1=C(O)C(=O)C(O)=C(C)C1=O,Embelin scaffold-hop (this work),anti-fibrotic candidate
Embelin,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,자단 (E. ribes),anti-fibrotic parent
Genistein,Oc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1,콩,phytoestrogen
