compound,smiles,source_herb,traditional_use
Licochalcone A,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)c(C(C)(C)C=C)c1,감초 (G. uralensis),depigmenting
Glabridin,CC(C)(C=C)c1ccc(C2COc3cc(O)ccc3C2)c(O)c1O,감초 (G. uralensis),depigmenting + antioxidant
EGCG,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(OC(=O)c1cc(O)c(O)c(O)c1)C2,녹차 (C. sinensis),anti-pigmentation + photoaging
Kojic acid,OCC1=CC(=O)C(O)=CO1,Aspergillus / 발효식품,classical depigmenting
Arbutin,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,bearberry / cosmetic,classical depigmenting
Mulberroside A,OC[C@H]1O[C@@H](Oc2ccc(/C=C/c3cc(O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)c3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,상백피 (M. alba),depigmenting
Oxyresveratrol,Oc1ccc(/C=C/c2cc(O)c(O)cc2O)cc1,상백피 (M. alba),depigmenting + antioxidant
Puerarin,OC[C@H]1O[C@@H](c2c(O)cc(O)c3c2OC=C(c2ccc(O)cc2)C3=O)[C@H](O)[C@@H](O)[C@@H]1O,갈근 (P. lobata),MITF down-regulation reported
Daidzein,Oc1ccc(C2COc3cc(O)ccc3C2=O)cc1,갈근 (P. lobata),phytoestrogen
Kazinol B,CC(C)=CCc1c(O)cc2OC(c3ccc(O)cc3)CC(=O)c2c1O,닥나무 (B. kazinoki),tyrosinase inhibition
Paeoniflorin,CC12C(O)CC3(O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4OC(=O)c4ccccc4)C1OC2(O)C3,작약 (P. lactiflora),mild depigmenting
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,강황 (C. longa),broad polyphenol
Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,reference compound,multi-target polyphenol
Hydroquinone,Oc1ccc(O)cc1,reference (legacy),classical (banned in many jurisdictions)
Niacinamide,NC(=O)c1cccnc1,reference (cosmetic),mild MITF modulator
