master: 9997 mol
resume: 1000 already scored, 8997 remaining
launching 8997 tasks on 22 subprocess workers
  200/8997 (0.1 min, ETA 2.4 min)
  400/8997 (0.1 min, ETA 2.2 min)
  600/8997 (0.1 min, ETA 2.1 min)
  800/8997 (0.2 min, ETA 2.0 min)
  1000/8997 (0.2 min, ETA 1.9 min)
  1200/8997 (0.2 min, ETA 1.6 min)
  1400/8997 (0.3 min, ETA 1.5 min)
  1600/8997 (0.3 min, ETA 1.5 min)
  1800/8997 (0.4 min, ETA 1.4 min)
  2000/8997 (0.4 min, ETA 1.4 min)
  2200/8997 (0.4 min, ETA 1.3 min)
  2400/8997 (0.5 min, ETA 1.3 min)
  2600/8997 (0.5 min, ETA 1.2 min)
  2800/8997 (0.5 min, ETA 1.2 min)
  3000/8997 (0.6 min, ETA 1.2 min)
  3200/8997 (0.6 min, ETA 1.1 min)
  3400/8997 (0.7 min, ETA 1.1 min)
  3600/8997 (0.8 min, ETA 1.1 min)
  3800/8997 (0.8 min, ETA 1.1 min)
  4000/8997 (0.9 min, ETA 1.1 min)
  4200/8997 (1.0 min, ETA 1.1 min)
  4400/8997 (1.0 min, ETA 1.1 min)
  4600/8997 (1.1 min, ETA 1.1 min)
  4800/8997 (1.2 min, ETA 1.1 min)
  5000/8997 (1.3 min, ETA 1.1 min)
  5200/8997 (1.5 min, ETA 1.1 min)
  5400/8997 (1.7 min, ETA 1.1 min)
  5600/8997 (1.8 min, ETA 1.1 min)
  5800/8997 (2.1 min, ETA 1.1 min)
  6000/8997 (2.2 min, ETA 1.1 min)
  6200/8997 (2.3 min, ETA 1.1 min)
  6400/8997 (2.5 min, ETA 1.0 min)
  6600/8997 (2.7 min, ETA 1.0 min)
  6800/8997 (3.0 min, ETA 1.0 min)
  7000/8997 (3.2 min, ETA 0.9 min)
  7200/8997 (3.4 min, ETA 0.8 min)
  7400/8997 (3.8 min, ETA 0.8 min)
  7600/8997 (4.1 min, ETA 0.7 min)
  7800/8997 (4.5 min, ETA 0.7 min)
  8000/8997 (4.8 min, ETA 0.6 min)
  8200/8997 (5.1 min, ETA 0.5 min)
  8400/8997 (5.4 min, ETA 0.4 min)
  8600/8997 (5.7 min, ETA 0.3 min)
  8800/8997 (6.3 min, ETA 0.1 min)
