leader_seed,derivative_smiles,MW,logP,HBD,HBA,TPSA,rotb,QED,skin_window,lipinski_viol,AMES,DILI,hERG,BBB_Martins,HIA_Hou,Lipophilicity_AstraZeneca,Solubility_AqSolDB,ClinTox,Carcinogens_Lagunin,Skin_Reaction,CYP3A4_Veith,CYP2C9_Veith,CYP2D6_Veith,HOMO_eV,LUMO_eV,gap_eV,energy_au,score
R12_4,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.4,1.97,4,6,99.4,2,0.665,True,,0.100707255,0.4078253,0.61642116,0.1928055,0.9998204,2.5825236,-2.8216412,0.067102894,0.041911572,0.6129931,0.57454205,0.56994724,0.66138804,-9.802,-5.816,3.986,-75.317406,0.7518297964999999
R13_13,CC(C)=CC1COc2cc(O)ccc2C1,204.3,2.91,1,2,29.5,1,0.713,True,0.0,0.25925326,0.20198345,0.57547027,0.8256165,0.99994785,3.329713,-3.5230873,0.07739772,0.07876685,0.8322958,0.18900093,0.23478362,0.595768,-9.911,-5.922,3.99,-44.124041,0.7481324505
R13_13,CC(C)=CCC1COc2cc(O)ccc2C1,218.3,3.3,1,2,29.5,2,0.772,True,0.0,0.21587399,0.16542633,0.70040894,0.8588381,0.99996126,3.4949718,-3.9437509,0.08267449,0.07521742,0.8428358,0.25603548,0.25612962,0.7623339,-9.99,-5.941,4.049,-47.290279,0.7475420655
R12_11,COc1cc(C2COc3cc(O)ccc3C2)ccc1O,272.3,2.83,2,4,58.9,2,0.882,True,,0.20708747,0.39660487,0.6254339,0.44776955,0.99997413,3.1657422,-3.473618,0.05010022,0.039202787,0.7469629,0.6225565,0.57231724,0.6647428,-10.061,-6.16,3.901,-58.699793,0.7414962484999998
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,372.4,2.15,3,7,105.5,2,0.694,True,,0.104285434,0.6013462,0.6150603,0.19214791,0.99991864,2.8274243,-3.4863148,0.05942173,0.048484005,0.6047317,0.76299465,0.7976303,0.6738022,-10.105,-7.104,3.001,-81.544754,0.7249003797999999
R12_23,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.4,2.37,3,6,88.4,2,0.775,True,,0.13903785,0.54323024,0.64981306,0.21751228,0.99992037,2.9694784,-2.991973,0.0594926,0.032599725,0.5735587,0.62702787,0.59616303,0.5603701,-9.926,-5.914,4.012,-75.317908,0.724341497
R12_11,COc1ccc(O)c(C2COc3cc(O)ccc3C2)c1,272.3,2.83,2,4,58.9,2,0.882,True,,0.24989614,0.46561795,0.61215365,0.32932082,0.99997693,3.2563431,-3.4226844,0.04378109,0.038593315,0.7831885,0.6767038,0.6149169,0.6072968,-9.9,-6.209,3.69,-58.69871,0.7209577355000001
R12_23,COC(=O)C1Oc2cc(O)cc(O)c2CC1C1Oc2cc(O)cc(O)c2CC1OC,418.4,1.62,4,9,134.9,3,0.548,True,,0.083588414,0.7865278,0.4760507,0.08608638,0.9990072,2.0283513,-2.8146117,0.08520289,0.056259893,0.36390653,0.54882324,0.6511375,0.28610203,-10.108,-6.885,3.223,-92.831538,0.7165341658
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1OC,418.4,1.83,4,9,134.9,3,0.551,True,,0.102664985,0.7438163,0.569341,0.08249657,0.9997608,2.4939542,-3.1491363,0.06631174,0.03991186,0.4533555,0.7824808,0.7677789,0.51648796,-10.232,-6.874,3.358,-92.845672,0.6988598595
R12_23,COC1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1OC,390.4,2.05,4,8,117.8,3,0.629,True,,0.14178106,0.6965431,0.5889473,0.092593946,0.9997484,2.658628,-2.731415,0.06620377,0.026944181,0.43062544,0.63996047,0.56567705,0.33875674,-10.109,-5.962,4.147,-86.62352,0.6980947569999999
R12_4,OCC1COc2cc(O)ccc2C1,180.2,0.94,2,3,49.7,1,0.676,False,0.0,0.18239227,0.21372111,0.1690416,0.6794927,0.9990767,1.0628684,-0.90692604,0.08992267,0.13118124,0.68336725,0.02474927,0.05747833,0.16601144,-10.159,-6.128,4.031,-39.736531,0.6970158325
R12_11,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,298.3,3.37,2,4,58.9,3,0.912,True,,0.34129387,0.46337453,0.61775726,0.3915606,0.99995327,3.5080829,-4.1218486,0.054581434,0.049366616,0.8274733,0.68555295,0.62559855,0.63765365,-9.903,-6.563,3.341,-63.978688,0.6957542075
R12_11,Oc1ccc2c(c1)OCC(C=CC1COc3cc(O)ccc3C1)C2,324.4,3.46,2,4,58.9,2,0.831,True,0.0,0.3193059,0.37311438,0.7126475,0.3981703,0.9999939,3.7710462,-4.1523957,0.043455403,0.0430538,0.8726883,0.7892517,0.71876174,0.8454469,-10.0,-6.007,3.993,-69.296803,0.688811573
R12_11,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,298.3,3.37,2,4,58.9,3,0.912,True,,0.41870993,0.5130936,0.6386337,0.3513394,0.99997365,3.599324,-4.206325,0.05272944,0.04193485,0.83773834,0.76102877,0.62204194,0.6372502,-9.842,-6.371,3.471,-63.972094,0.6608962409999999
