efo,disease,symbol,ensembl,score
EFO_0000768,idiopathic_pulmonary_fibrosis,PARN,ENSG00000140694,0.7901795648477856
EFO_0000768,idiopathic_pulmonary_fibrosis,RTEL1,ENSG00000258366,0.732608102831634
EFO_0000768,idiopathic_pulmonary_fibrosis,TERT,ENSG00000164362,0.724182597107911
EFO_0000768,idiopathic_pulmonary_fibrosis,SFTPA2,ENSG00000185303,0.7147605504081332
EFO_0000768,idiopathic_pulmonary_fibrosis,MUC5B,ENSG00000117983,0.6486514046729224
EFO_0000768,idiopathic_pulmonary_fibrosis,DSP,ENSG00000096696,0.6263631552759812
EFO_0000768,idiopathic_pulmonary_fibrosis,PDGFRB,ENSG00000113721,0.5939707944793398
EFO_0000768,idiopathic_pulmonary_fibrosis,FGFR1,ENSG00000077782,0.5929891312023431
EFO_0000768,idiopathic_pulmonary_fibrosis,FLT1,ENSG00000102755,0.5924039630990924
EFO_0000768,idiopathic_pulmonary_fibrosis,FGFR2,ENSG00000066468,0.5917417991927822
EFO_0000768,idiopathic_pulmonary_fibrosis,PDGFRA,ENSG00000134853,0.5905494076752594
EFO_0000768,idiopathic_pulmonary_fibrosis,FGFR4,ENSG00000160867,0.5897982711319592
EFO_0000768,idiopathic_pulmonary_fibrosis,KDR,ENSG00000128052,0.5887546681286331
EFO_0000768,idiopathic_pulmonary_fibrosis,NR3C1,ENSG00000113580,0.5872810497521164
EFO_0000768,idiopathic_pulmonary_fibrosis,FGFR3,ENSG00000068078,0.586102472585112
EFO_0000768,idiopathic_pulmonary_fibrosis,FLT4,ENSG00000037280,0.5851785229484003
EFO_0000768,idiopathic_pulmonary_fibrosis,FAM13A,ENSG00000138640,0.5646060861967218
EFO_0000768,idiopathic_pulmonary_fibrosis,MUC5AC,ENSG00000215182,0.51077231440644
EFO_0000768,idiopathic_pulmonary_fibrosis,SPDL1,ENSG00000040275,0.5058559959195272
EFO_0000768,idiopathic_pulmonary_fibrosis,IFNGR2,ENSG00000159128,0.4436241519600743
EFO_0000768,idiopathic_pulmonary_fibrosis,IFNGR1,ENSG00000027697,0.44283879476886934
EFO_0000768,idiopathic_pulmonary_fibrosis,ACTRT3,ENSG00000184378,0.43247013818828367
EFO_0000768,idiopathic_pulmonary_fibrosis,DPP9,ENSG00000142002,0.41514207477529885
EFO_0000768,idiopathic_pulmonary_fibrosis,AKAP13,ENSG00000170776,0.40429105319257
EFO_0000768,idiopathic_pulmonary_fibrosis,ABCA3,ENSG00000167972,0.4036147156724545
EFO_0000768,idiopathic_pulmonary_fibrosis,TNFRSF6B,ENSG00000243509,0.401710325053845
EFO_0000768,idiopathic_pulmonary_fibrosis,SFTPC,ENSG00000168484,0.3804920332973415
EFO_0000768,idiopathic_pulmonary_fibrosis,EDNRB,ENSG00000136160,0.3775717047736745
EFO_0000768,idiopathic_pulmonary_fibrosis,EDNRA,ENSG00000151617,0.3738404850147344
EFO_0000768,idiopathic_pulmonary_fibrosis,TOLLIP,ENSG00000078902,0.3736085107849951
EFO_0009551,hypertrophic_keloid_scar,SMAD6,ENSG00000137834,0.7808364403091642
EFO_0009551,hypertrophic_keloid_scar,ELN,ENSG00000049540,0.7801603747601472
EFO_0009551,hypertrophic_keloid_scar,ROBO4,ENSG00000154133,0.7753529829243394
EFO_0009551,hypertrophic_keloid_scar,FLNA,ENSG00000196924,0.7685296554091587
EFO_0009551,hypertrophic_keloid_scar,NOTCH1,ENSG00000148400,0.7483914996672884
EFO_0009551,hypertrophic_keloid_scar,DCHS1,ENSG00000166341,0.7246358917083309
EFO_0009551,hypertrophic_keloid_scar,TBX5,ENSG00000089225,0.6471218706422613
EFO_0009551,hypertrophic_keloid_scar,FBN1,ENSG00000166147,0.6374474975577183
EFO_0009551,hypertrophic_keloid_scar,IL6,ENSG00000136244,0.5585163185799906
EFO_0009551,hypertrophic_keloid_scar,LPA,ENSG00000198670,0.5567525475892877
EFO_0009551,hypertrophic_keloid_scar,DZIP1,ENSG00000134874,0.5535178394088219
EFO_0009551,hypertrophic_keloid_scar,SORT1,ENSG00000134243,0.5078629330129996
EFO_0009551,hypertrophic_keloid_scar,PRRX1,ENSG00000116132,0.5010194820249891
EFO_0009551,hypertrophic_keloid_scar,ADAMTS19,ENSG00000145808,0.4825334082737715
EFO_0009551,hypertrophic_keloid_scar,CELSR2,ENSG00000143126,0.47570355455357427
EFO_0009551,hypertrophic_keloid_scar,MECOM,ENSG00000085276,0.46202301639582616
EFO_0009551,hypertrophic_keloid_scar,TTN,ENSG00000155657,0.45148324527840933
EFO_0009551,hypertrophic_keloid_scar,ZEB2,ENSG00000169554,0.4508020038972954
EFO_0009551,hypertrophic_keloid_scar,FLNB,ENSG00000136068,0.4375903429197265
EFO_0009551,hypertrophic_keloid_scar,LTBP2,ENSG00000119681,0.4309060187243554
EFO_0009551,hypertrophic_keloid_scar,FOXP1,ENSG00000114861,0.4308749097046222
EFO_0009551,hypertrophic_keloid_scar,ALPL,ENSG00000162551,0.42274446725714815
EFO_0009551,hypertrophic_keloid_scar,C8orf74,ENSG00000171060,0.4113720804530671
EFO_0009551,hypertrophic_keloid_scar,PALMD,ENSG00000099260,0.41133961383087675
EFO_0009551,hypertrophic_keloid_scar,FTO,ENSG00000140718,0.41113168420843943
EFO_0009551,hypertrophic_keloid_scar,SLC22A3,ENSG00000146477,0.40902871733397744
EFO_0009551,hypertrophic_keloid_scar,MYH7,ENSG00000092054,0.4072726564910002
EFO_0009551,hypertrophic_keloid_scar,ACTR2,ENSG00000138071,0.406375194744472
EFO_0009551,hypertrophic_keloid_scar,GATA5,ENSG00000130700,0.4057265460749207
EFO_0009551,hypertrophic_keloid_scar,MAP3K4,ENSG00000085511,0.40519345539263874
EFO_0009566,renal_interstitial_fibrosis,OCRL,ENSG00000122126,0.8835290390993484
EFO_0009566,renal_interstitial_fibrosis,GNAS,ENSG00000087460,0.8742347537777838
EFO_0009566,renal_interstitial_fibrosis,DYNC2H1,ENSG00000187240,0.8715985591974731
EFO_0009566,renal_interstitial_fibrosis,WDR19,ENSG00000157796,0.8705502876849068
