compound,target,has_warhead,warheads,cys_target
Beta-Sitosterol,MMP1,False,,Cys278
Beta-Sitosterol,MMP3,False,,Cys100
Beta-Sitosterol,MMP9,False,,Cys99
Beta-Sitosterol,TGFB1,False,,Cys223
Beta-Sitosterol,CTGF,False,,
Beta-Sitosterol,TYR,False,,Cys81
Beta-Sitosterol,SIRT1,False,,Cys371
Beta-Sitosterol,SRD5A2,False,,
Beta-Sitosterol,AR,False,,
Beta-Sitosterol,FAP,False,,
Beta-Sitosterol,LOX,False,,
Beta-Sitosterol,PDGFRB,False,,
Beta-Sitosterol,POSTN,False,,
Beta-Sitosterol,ACTA2,False,,
Beta-Sitosterol,MITF,False,,
Beta-Sitosterol,COL1A1,False,,
Beta-Sitosterol,COL3A1,False,,
Hyperforin,MMP1,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys278
Hyperforin,MMP3,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys100
Hyperforin,MMP9,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys99
Hyperforin,TGFB1,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys223
Hyperforin,CTGF,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,TYR,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys81
Hyperforin,SIRT1,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys371
Hyperforin,SRD5A2,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,AR,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,FAP,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,LOX,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,PDGFRB,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,POSTN,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,ACTA2,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,MITF,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,COL1A1,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Hyperforin,COL3A1,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,
Lupeol,MMP1,False,,Cys278
Lupeol,MMP3,False,,Cys100
Lupeol,MMP9,False,,Cys99
Lupeol,TGFB1,False,,Cys223
Lupeol,CTGF,False,,
Lupeol,TYR,False,,Cys81
Lupeol,SIRT1,False,,Cys371
Lupeol,SRD5A2,False,,
Lupeol,AR,False,,
Lupeol,FAP,False,,
Lupeol,LOX,False,,
Lupeol,PDGFRB,False,,
Lupeol,POSTN,False,,
Lupeol,ACTA2,False,,
Lupeol,MITF,False,,
Lupeol,COL1A1,False,,
Lupeol,COL3A1,False,,
Oleanolic acid,MMP1,False,,Cys278
Oleanolic acid,MMP3,False,,Cys100
Oleanolic acid,MMP9,False,,Cys99
Oleanolic acid,TGFB1,False,,Cys223
Oleanolic acid,CTGF,False,,
Oleanolic acid,TYR,False,,Cys81
Oleanolic acid,SIRT1,False,,Cys371
Oleanolic acid,SRD5A2,False,,
Oleanolic acid,AR,False,,
Oleanolic acid,FAP,False,,
Oleanolic acid,LOX,False,,
Oleanolic acid,PDGFRB,False,,
Oleanolic acid,POSTN,False,,
Oleanolic acid,ACTA2,False,,
Oleanolic acid,MITF,False,,
Oleanolic acid,COL1A1,False,,
Oleanolic acid,COL3A1,False,,
Betulinic acid,MMP1,False,,Cys278
Betulinic acid,MMP3,False,,Cys100
Betulinic acid,MMP9,False,,Cys99
Betulinic acid,TGFB1,False,,Cys223
Betulinic acid,CTGF,False,,
Betulinic acid,TYR,False,,Cys81
Betulinic acid,SIRT1,False,,Cys371
Betulinic acid,SRD5A2,False,,
Betulinic acid,AR,False,,
Betulinic acid,FAP,False,,
Betulinic acid,LOX,False,,
Betulinic acid,PDGFRB,False,,
Betulinic acid,POSTN,False,,
Betulinic acid,ACTA2,False,,
Betulinic acid,MITF,False,,
Betulinic acid,COL1A1,False,,
Betulinic acid,COL3A1,False,,
Ursolic acid,MMP1,False,,Cys278
Ursolic acid,MMP3,False,,Cys100
Ursolic acid,MMP9,False,,Cys99
Ursolic acid,TGFB1,False,,Cys223
Ursolic acid,CTGF,False,,
Ursolic acid,TYR,False,,Cys81
Ursolic acid,SIRT1,False,,Cys371
Ursolic acid,SRD5A2,False,,
Ursolic acid,AR,False,,
Ursolic acid,FAP,False,,
Ursolic acid,LOX,False,,
Ursolic acid,PDGFRB,False,,
Ursolic acid,POSTN,False,,
Ursolic acid,ACTA2,False,,
Ursolic acid,MITF,False,,
Ursolic acid,COL1A1,False,,
Ursolic acid,COL3A1,False,,
Bakuchiol,MMP1,False,,Cys278
Bakuchiol,MMP3,False,,Cys100
Bakuchiol,MMP9,False,,Cys99
Bakuchiol,TGFB1,False,,Cys223
Bakuchiol,CTGF,False,,
Bakuchiol,TYR,False,,Cys81
Bakuchiol,SIRT1,False,,Cys371
Bakuchiol,SRD5A2,False,,
Bakuchiol,AR,False,,
Bakuchiol,FAP,False,,
Bakuchiol,LOX,False,,
Bakuchiol,PDGFRB,False,,
Bakuchiol,POSTN,False,,
