compound,n_conformers,error
Beta-Sitosterol,0,'>' not supported between instances of '_vecti' and 'int'
Hyperforin,0,'>' not supported between instances of '_vecti' and 'int'
Lupeol,0,'>' not supported between instances of '_vecti' and 'int'
Oleanolic acid,0,'>' not supported between instances of '_vecti' and 'int'
Betulinic acid,0,'>' not supported between instances of '_vecti' and 'int'
Ursolic acid,0,'>' not supported between instances of '_vecti' and 'int'
Bakuchiol,0,'>' not supported between instances of '_vecti' and 'int'
Retinol,0,'>' not supported between instances of '_vecti' and 'int'
Tretinoin,0,'>' not supported between instances of '_vecti' and 'int'
Epimedin C,0,'>' not supported between instances of '_vecti' and 'int'
Rapanone,0,'>' not supported between instances of '_vecti' and 'int'
Bisabolol,0,'>' not supported between instances of '_vecti' and 'int'
Tetrahydroxystilbene glucoside,0,'>' not supported between instances of '_vecti' and 'int'
Calendulin,0,'>' not supported between instances of '_vecti' and 'int'
Honokiol,0,'>' not supported between instances of '_vecti' and 'int'
Embelin,0,'>' not supported between instances of '_vecti' and 'int'
5-O-methyl-Embelin,0,'>' not supported between instances of '_vecti' and 'int'
Tanshinone IIA,0,'>' not supported between instances of '_vecti' and 'int'
Magnolol,0,'>' not supported between instances of '_vecti' and 'int'
Imperatorin,0,'>' not supported between instances of '_vecti' and 'int'
Licochalcone A,0,'>' not supported between instances of '_vecti' and 'int'
Hexylresorcinol,0,'>' not supported between instances of '_vecti' and 'int'
3-decyl-2-5-dihydroxy-benzoquinone,0,'>' not supported between instances of '_vecti' and 'int'
alpha-Arbutin,0,'>' not supported between instances of '_vecti' and 'int'
Carnosic acid,0,'>' not supported between instances of '_vecti' and 'int'
Carnosol,0,'>' not supported between instances of '_vecti' and 'int'
Eucalyptol,0,'>' not supported between instances of '_vecti' and 'int'
Pterostilbene,0,'>' not supported between instances of '_vecti' and 'int'
Linalool,0,'>' not supported between instances of '_vecti' and 'int'
Glabridin,0,'>' not supported between instances of '_vecti' and 'int'
Tea tree oil terpinen-4-ol,0,'>' not supported between instances of '_vecti' and 'int'
Capsaicin,0,'>' not supported between instances of '_vecti' and 'int'
Menthol,0,'>' not supported between instances of '_vecti' and 'int'
Kazinol B,0,'>' not supported between instances of '_vecti' and 'int'
Schizandrin A,0,'>' not supported between instances of '_vecti' and 'int'
Resveratrol,0,'>' not supported between instances of '_vecti' and 'int'
Cryptotanshinone,0,'>' not supported between instances of '_vecti' and 'int'
Formononetin,0,'>' not supported between instances of '_vecti' and 'int'
Asiatic acid,0,'>' not supported between instances of '_vecti' and 'int'
Daidzein,0,'>' not supported between instances of '_vecti' and 'int'
Oxyresveratrol,0,'>' not supported between instances of '_vecti' and 'int'
Calycosin,0,'>' not supported between instances of '_vecti' and 'int'
Wogonin,0,'>' not supported between instances of '_vecti' and 'int'
EMB-3,0,'>' not supported between instances of '_vecti' and 'int'
4-n-butylresorcinol,0,'>' not supported between instances of '_vecti' and 'int'
Azelaic acid,0,'>' not supported between instances of '_vecti' and 'int'
Genistein,0,'>' not supported between instances of '_vecti' and 'int'
Baicalein,0,'>' not supported between instances of '_vecti' and 'int'
Apigenin,0,'>' not supported between instances of '_vecti' and 'int'
Berberine,0,'>' not supported between instances of '_vecti' and 'int'
Curcumin,0,'>' not supported between instances of '_vecti' and 'int'
Paeonol,0,'>' not supported between instances of '_vecti' and 'int'
Naringenin,0,'>' not supported between instances of '_vecti' and 'int'
Acetylshikonin,0,'>' not supported between instances of '_vecti' and 'int'
Hydroquinone,0,'>' not supported between instances of '_vecti' and 'int'
Palmatine,0,'>' not supported between instances of '_vecti' and 'int'
Biochanin A,0,'>' not supported between instances of '_vecti' and 'int'
Phloretin,0,'>' not supported between instances of '_vecti' and 'int'
Salicylic acid,0,'>' not supported between instances of '_vecti' and 'int'
2-hydroxy-naphthoquinone,0,'>' not supported between instances of '_vecti' and 'int'
Ferulic acid,0,'>' not supported between instances of '_vecti' and 'int'
