compound,smiles,mw,logp,hbd,hba,tpsa,rotbonds,rings,aromatic_rings,qed,fragments
Beta-Sitosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,414.71800000000025,8.02480000000001,1,1,20.23,6,4,0,0.43609564173751103,0.9310344827586207
Hyperforin,CC(C)C(=O)[C@]12C(=O)C(=C([C@](C1=O)(C[C@@H]([C@@]2(C)CCC=C(C)C)CC=C(C)C)CC=C(C)C)O)CC=C(C)C,536.7970000000003,8.989700000000003,1,4,71.44,11,2,0,0.2111922623197679,0.6285714285714286
Lupeol,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C,426.72900000000027,8.02480000000001,1,1,20.23,1,5,0,0.42072234296543964,0.9333333333333333
Oleanolic acid,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,456.7110000000003,7.233600000000009,2,2,57.53,1,5,0,0.4090545989913931,0.9
Betulinic acid,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,456.7110000000003,7.089500000000008,2,2,57.53,2,5,0,0.43609774143169966,0.9
Ursolic acid,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,456.7110000000002,7.089500000000008,2,2,57.53,1,5,0,0.41410869058469774,0.9
Bakuchiol,CC(=CCC[C@@](C)(C=C)/C=C/C1=CC=C(C=C1)O)C,256.389,5.344100000000005,1,1,20.23,6,1,1,0.6806555936778284,0.3333333333333333
Retinol,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,286.45900000000006,5.510300000000006,1,1,20.23,5,1,0,0.6605933879271789,0.5
Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,300.44200000000006,5.602600000000005,1,1,37.3,5,1,0,0.5295731957656133,0.45
Epimedin C,C1CCC(CC1)N(C2=NC=C(S2)C(=O)O)C(=O)C3=CC=C(C=C3)OC4=CC=C(C=C4)Cl,456.95100000000014,6.266500000000005,1,5,79.73,6,4,3,0.4726585224829783,0.2608695652173913
Rapanone,CCCCCCCCCCCCCC1=C(O)C(=O)C(=O)C=C1O,322.445,5.093300000000004,2,4,74.6,12,1,0,0.2978846731332443,0.6842105263157895
Bisabolol,CC1=CC[C@H](CC1)[C@](C)(CCC=C(C)C)O,222.37199999999999,4.230200000000004,1,1,20.23,4,1,0,0.7056993465961422,0.7333333333333333
Tetrahydroxystilbene glucoside,C1=CC=C(C=C1)CCC(CC/C=C/C2=CC=CC=C2)O,266.38399999999996,4.473700000000005,1,1,20.23,7,2,2,0.7834077154658072,0.2631578947368421
Calendulin,C[C@@H]1CC(=O)C=C([C@@]12CCC(=C(C)C)C2)C,218.33999999999995,4.048300000000003,0,1,17.07,0,2,0,0.5605602008507369,0.6666666666666666
Honokiol,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,266.34,4.221800000000002,2,2,40.46,5,2,2,0.7953121917968515,0.1111111111111111
Embelin,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,294.39099999999996,4.313100000000003,2,4,74.60000000000001,10,1,0,0.4647428220800703,0.6470588235294118
5-O-methyl-Embelin,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,308.418,4.401500000000003,1,4,63.60000000000001,11,1,0,0.45364122756247593,0.6666666666666666
Tanshinone IIA,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,294.35,4.247920000000003,0,3,47.28,0,4,2,0.6824206922958951,0.3684210526315789
Magnolol,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC,608.7350000000004,6.859400000000011,1,8,72.86000000000001,3,8,4,0.2706099989659304,0.35135135135135137
