,Beta-Sitosterol,Hyperforin,Lupeol,Oleanolic acid,Betulinic acid,Ursolic acid,Bakuchiol,Retinol,Tretinoin,Epimedin C,Rapanone,Bisabolol,Tetrahydroxystilbene glucoside,Calendulin,Honokiol,Embelin,5-O-methyl-Embelin,Tanshinone IIA,Magnolol,Imperatorin,Licochalcone A,Hexylresorcinol,3-decyl-2-5-dihydroxy-benzoquinone,alpha-Arbutin,Carnosic acid,Carnosol,Eucalyptol,Pterostilbene,Linalool,Glabridin,Tea tree oil terpinen-4-ol,Capsaicin,Menthol,Kazinol B,Schizandrin A,Resveratrol,Cryptotanshinone,Formononetin,Asiatic acid,Daidzein,Oxyresveratrol,Calycosin,Wogonin,EMB-3,4-n-butylresorcinol,Azelaic acid,Genistein,Baicalein,Apigenin,Berberine,Curcumin,Paeonol,Naringenin,Acetylshikonin,Hydroquinone,Palmatine,Biochanin A,Phloretin,Salicylic acid,2-hydroxy-naphthoquinone,Ferulic acid,Physcion,Tyrosol,Sulforaphane,Spirulina-derived phycocyanin,Asiaticoside,Madecassic acid,Caffeic acid,Shikonin,Emodin,Thujin,Quercetin,Finasteride,Withaferin A,Hydroxytyrosol,Niacinamide,Rhein,Epicatechin,Aloe-emodin,Andrographolide,Ellagic acid,Epigallocatechin,Kojic acid,4-Methoxyresorcinol,EGCG,Silymarin,Procyanidin B2,Marimastat,Avenanthramide B,Theaflavin,Salvianolic acid B,Polydatin,Byakangelicin,Mulberroside A,Liquiritin,Ascorbic acid,Allantoin from Symphytum,Allantoin,Chlorogenic acid,Baicalin,Puerarin,Arbutin,Phloridzin,Salidroside,Aloin,Geniposide,Mangiferin,Saponin Re,Ginsenoside Rg1,Ginsenoside Rg3,Madecassoside,Sennoside A,Mogroside V,Glycyrrhizin,Icariin,Saikosaponin A,Hesperidin,Acteoside (Verbascoside),Paeoniflorin,Avenanthramide A,Punicalagin,Astragaloside IV,Ginsenoside Rb1,Crocin
Beta-Sitosterol,1.0,0.11578947,0.18518518,0.1744186,0.1744186,0.17045455,0.102564104,0.09638554,0.083333336,0.10989011,0.08,0.14473684,0.093333334,0.13157895,0.077922076,0.08,0.08974359,0.09638554,0.07619048,0.08235294,0.06666667,0.09859155,0.08,0.048387095,0.17283951,0.14285715,0.11111111,0.06944445,0.072463766,0.125,0.15151516,0.11494253,0.12307692,0.11363637,0.071428575,0.05970149,0.11764706,0.072289154,0.16129032,0.064935066,0.055555556,0.069767445,0.05952381,0.06849315,0.056338027,0.032258064,0.06329114,0.06329114,0.06410257,0.06521739,0.077922076,0.06944445,0.102564104,0.06666667,0.071428575,0.054347824,0.08235294,0.08219178,0.060606062,0.057142857,0.064935066,0.051282052,0.078125,0.02739726,0.05,0.15789473,0.15789473,0.055555556,0.115384616,0.054054055,0.04,0.061728396,0.15116279,0.27173913,0.07462686,0.057142857,0.050632913,0.115384616,0.06410257,0.15730338,0.041666668,0.103896104,0.057142857,0.06944445,0.06818182,0.08163265,0.0989011,0.075,0.104166664,0.1,0.078431375,0.08139535,0.08045977,0.10869565,0.094736844,0.083333336,0.055555556,0.055555556,0.08988764,0.07368421,0.07526882,0.09210526,0.08695652,0.0875,0.07692308,0.10752688,0.07865169,0.117117114,0.12264151,0.11818182,0.12903225,0.071428575,0.0952381,0.117117114,0.08035714,0.12068965,0.11320755,0.093457945,0.106796116,0.06542056,0.1891892,0.114035085,0.11111111,0.054347824
Hyperforin,0.11578947,1.0,0.101123594,0.13186814,0.10752688,0.10526316,0.15789473,0.13414635,0.13414635,0.072916664,0.12162162,0.17105263,0.07692308,0.11392405,0.08974359,0.10666667,0.101265825,0.10714286,0.06481481,0.13253012,0.07692308,0.08108108,0.10666667,0.03076923,0.15476191,0.13953489,0.09090909,0.08219178,0.15151516,0.097826086,0.09859155,0.125,0.10294118,0.1904762,0.057471264,0.073529415,0.12790698,0.07058824,0.13402061,0.06329114,0.06849315,0.06818182,0.07058824,0.12676056,0.05479452,0.06451613,0.061728396,0.061728396,0.0625,0.05263158,0.103896104,0.097222224,0.086419754,0.078947365,0.050847456,0.042105265,0.093023255,0.08,0.07462686,0.08571429,0.09090909,0.07692308,0.05970149,0.04054054,0.07,0.13131313,0.13131313,0.083333336,0.17105263,0.08108108,0.05263158,0.060240965,0.10989011,0.13333334,0.057142857,0.055555556,0.07594936,0.072289154,0.07594936,0.14130434,0.06944445,0.074074075,0.08571429,0.08219178,0.09090909,0.10204082,0.0625,0.086419754,0.06930693,0.086021505,0.10891089,0.09195402,0.07865169,0.10638298,0.0927835,0.12676056,0.09859155,0.09859155,0.125,0.094736844,0.08510638,0.07594936,0.08510638,0.072289154,0.08695652,0.09375,0.101123594,0.125,0.13084112,0.12612613,0.1007752,0.091836736,0.083333336,0.125,0.1388889,0.09090909,0.09090909,0.09174312,0.1262136,0.074074075,0.1125,0.09322034,0.118644066,0.1
Lupeol,0.18518518,0.101123594,1.0,0.30985916,0.7222222,0.30136988,0.083333336,0.09210526,0.09210526,0.056818184,0.042857144,0.112676054,0.01369863,0.114285715,0.056338027,0.042857144,0.04054054,0.077922076,0.05,0.06329114,0.03529412,0.04477612,0.042857144,0.036363635,0.115384616,0.11392405,0.12727273,0.029850746,0.1,0.07058824,0.07936508,0.034883723,0.10169491,0.084337346,0.03797468,0.016129032,0.101265825,0.025316456,0.1627907,0.01369863,0.014925373,0.024390243,0.025316456,0.04477612,0.015151516,0.018181818,0.013333334,0.013333334,0.013513514,0.03448276,0.02739726,0.045454547,0.04,0.04347826,0.019607844,0.022988506,0.05,0.028985508,0.016393442,0.015384615,0.027777778,0.04225352,0.033898305,0.015151516,0.031914894,0.13333334,0.13333334,0.014925373,0.067567565,0.029411765,0.014492754,0.012987013,0.15189873,0.13541667,0.032258064,0.015384615,0.013513514,0.053333335,0.02739726,0.20253165,0.015151516,0.05479452,0.015384615,0.045454547,0.036144577,0.05376344,0.045454547,0.02631579,0.05376344,0.07058824,0.040816326,0.049382716,0.048780486,0.105882354,0.054945055,0.04477612,0.046153847,0.046153847,0.05952381,0.044444446,0.045454547,0.056338027,0.057471264,0.067567565,0.046511628,0.06741573,0.060240965,0.24731183,0.26136363,0.25,0.1092437,0.043010753,0.04901961,0.19587629,0.06603774,0.17307693,0.057692308,0.058252428,0.0927835,0.039215688,0.10526316,0.1553398,0.23232323,0.072289154
Oleanolic acid,0.1744186,0.13186814,0.30985916,1.0,0.42028984,0.69491524,0.06410257,0.086419754,0.12820514,0.101123594,0.06849315,0.13513513,0.053333335,0.1369863,0.038961038,0.06849315,0.064935066,0.11392405,0.057692308,0.072289154,0.06896552,0.056338027,0.06849315,0.016393442,0.21052632,0.14814815,0.11666667,0.072463766,0.04411765,0.09090909,0.12307692,0.06818182,0.09375,0.10465116,0.06097561,0.046153847,0.10843374,0.075,0.47887325,0.053333335,0.042857144,0.05952381,0.075,0.056338027,0.05882353,0.08928572,0.051948052,0.065789476,0.05263158,0.043956045,0.08108108,0.104477614,0.077922076,0.06944445,0.055555556,0.044444446,0.09876543,0.08571429,0.09836066,0.05970149,0.097222224,0.08219178,0.04761905,0.028571429,0.0625,0.42666668,0.42666668,0.08955224,0.07692308,0.071428575,0.056338027,0.050632913,0.15662651,0.15151516,0.045454547,0.092307694,0.08108108,0.07692308,0.05263158,0.1904762,0.05882353,0.078947365,0.05970149,0.104477614,0.083333336,0.08421053,0.07777778,0.050632913,0.072916664,0.09090909,0.08080808,0.084337346,0.1097561,0.13793103,0.097826086,0.08695652,0.08955224,0.08955224,0.175,0.1,0.08988764,0.09589041,0.11494253,0.09090909,0.09195402,0.1627907,0.09411765,0.23469388,0.23404256,0.2371134,0.30476192,0.10869565,0.08737864,0.32967034,0.10280374,0.23300971,0.0952381,0.11764706,0.16842106,0.067307696,0.11612903,0.14814815,0.22115384,0.093023255
Betulinic acid,0.1744186,0.10752688,0.7222222,0.42028984,1.0,0.42857143,0.06410257,0.086419754,0.12820514,0.08888889,0.054054055,0.09090909,0.025974026,0.12162162,0.05263158,0.054054055,0.051282052,0.1,0.04761905,0.05952381,0.056818184,0.041666668,0.054054055,0.033333335,0.16455697,0.12048193,0.11666667,0.027777778,0.07575758,0.06666667,0.073529415,0.056179777,0.09375,0.07954545,0.035714287,0.014925373,0.0952381,0.036144577,0.26506025,0.025974026,0.013888889,0.034883723,0.048780486,0.056338027,0.028571429,0.07017544,0.025316456,0.03846154,0.025641026,0.032608695,0.05263158,0.072463766,0.050632913,0.05479452,0.017857144,0.02173913,0.05952381,0.055555556,0.06349207,0.028985508,0.067567565,0.053333335,0.03125,0.028571429,0.040816326,0.22988506,0.22988506,0.057971016,0.06329114,0.041666668,0.02739726,0.024691358,0.17073171,0.14,0.029850746,0.04411765,0.05263158,0.05,0.038961038,0.20481928,0.028571429,0.051282052,0.028985508,0.0882353,0.058139537,0.06185567,0.043010753,0.050632913,0.05102041,0.07865169,0.07,0.046511628,0.083333336,0.11235955,0.06315789,0.071428575,0.073529415,0.073529415,0.105882354,0.07608695,0.054347824,0.05263158,0.07777778,0.06329114,0.055555556,0.08695652,0.056818184,0.23469388,0.24731183,0.2371134,0.15126051,0.07368421,0.056603774,0.21,0.06306306,0.16513762,0.06481481,0.0754717,0.121212125,0.047169812,0.11612903,0.14814815,0.22115384,0.093023255
Ursolic acid,0.17045455,0.10526316,0.30136988,0.69491524,0.42857143,1.0,0.0625,0.084337346,0.125,0.0989011,0.06666667,0.13157895,0.051948052,0.14864865,0.03797468,0.06666667,0.06329114,0.11111111,0.056603774,0.07058824,0.06741573,0.06944445,0.06666667,0.015873017,0.20512821,0.14457831,0.13114753,0.07042254,0.042857144,0.11363637,0.11940298,0.06666667,0.10769231,0.08988764,0.085365854,0.04477612,0.11904762,0.07317073,0.671875,0.051948052,0.056338027,0.058139537,0.07317073,0.05479452,0.057142857,0.0862069,0.06410257,0.06410257,0.064935066,0.043010753,0.078947365,0.10144927,0.08974359,0.08219178,0.05357143,0.054945055,0.1097561,0.09859155,0.0952381,0.057971016,0.0945946,0.08,0.046153847,0.027777778,0.072164945,0.60294116,0.60294116,0.08695652,0.075,0.08450704,0.05479452,0.0625,0.15294118,0.14851485,0.04411765,0.073529415,0.078947365,0.088607594,0.051282052,0.18604651,0.072463766,0.09090909,0.057971016,0.10144927,0.09411765,0.09375,0.07608695,0.049382716,0.082474224,0.101123594,0.07920792,0.069767445,0.10714286,0.13483146,0.08421053,0.08450704,0.08695652,0.08695652,0.14285715,0.086021505,0.07608695,0.078947365,0.11235955,0.075,0.07777778,0.14606741,0.07954545,0.20588236,0.21649484,0.20792079,0.37623763,0.10638298,0.09615385,0.28125,0.10091743,0.18348624,0.10377359,0.115384616,0.14141414,0.07619048,0.10759494,0.125,0.19444445,0.07865169
Bakuchiol,0.102564104,0.15789473,0.083333336,0.06410257,0.06410257,0.0625,1.0,0.12307692,0.08955224,0.050632913,0.10526316,0.32692307,0.18518518,0.07936508,0.16071428,0.10526316,0.09836066,0.073529415,0.07954545,0.17460318,0.2580645,0.1764706,0.10526316,0.044444446,0.06944445,0.083333336,0.019607844,0.31111112,0.43589744,0.10958904,0.074074075,0.14492753,0.057692308,0.23076923,0.04347826,0.325,0.06944445,0.12698413,0.071428575,0.14285715,0.20833333,0.121212125,0.092307694,0.09090909,0.055555556,0.045454547,0.13793103,0.08196721,0.14035088,0.05263158,0.2264151,0.15686275,0.13333334,0.12727273,0.23529412,0.053333335,0.104477614,0.17307693,0.10638298,0.09803922,0.20754717,0.10344828,0.21428572,0.036363635,0.101265825,0.069767445,0.069767445,0.20833333,0.21052632,0.11111111,0.05263158,0.09677419,0.065789476,0.06451613,0.125,0.07692308,0.083333336,0.11290322,0.10169491,0.08974359,0.0754717,0.09836066,0.12,0.11320755,0.07042254,0.11392405,0.093333334,0.07936508,0.1,0.08,0.0952381,0.27118644,0.055555556,0.05,0.116883114,0.09090909,0.054545455,0.054545455,0.16176471,0.09090909,0.1388889,0.18181819,0.1388889,0.16949153,0.09589041,0.07594936,0.083333336,0.17777778,0.1882353,0.16666667,0.05172414,0.0875,0.10227273,0.07070707,0.13186814,0.056603774,0.0989011,0.15116279,0.10344828,0.054945055,0.089655176,0.07920792,0.16666667,0.08219178
Retinol,0.09638554,0.13414635,0.09210526,0.086419754,0.086419754,0.084337346,0.12307692,1.0,0.6956522,0.04761905,0.07936508,0.17460318,0.078125,0.140625,0.07692308,0.0625,0.05882353,0.18181819,0.06382979,0.112676054,0.09210526,0.083333336,0.0625,0.04,0.12328767,0.12162162,0.09615385,0.084745765,0.12962963,0.075,0.14545454,0.06329114,0.05263158,0.103896104,0.08450704,0.074074075,0.17142858,0.055555556,0.10465116,0.045454547,0.06779661,0.039473683,0.055555556,0.10169491,0.050847456,0.040816326,0.04411765,0.028985508,0.029411765,0.07594936,0.11111111,0.06666667,0.042857144,0.06349207,0.044444446,0.06329114,0.053333335,0.06451613,0.036363635,0.033898305,0.0952381,0.06153846,0.07692308,0.033333335,0.022222223,0.12790698,0.12790698,0.0862069,0.121212125,0.06557377,0.048387095,0.028169014,0.116883114,0.14285715,0.07272727,0.033898305,0.029411765,0.04225352,0.060606062,0.15384616,0.033333335,0.04347826,0.07017544,0.06666667,0.03846154,0.06896552,0.035714287,0.042857144,0.04494382,0.036144577,0.07777778,0.08108108,0.08,0.09876543,0.058139537,0.06557377,0.05,0.05,0.12,0.047058824,0.04819277,0.060606062,0.074074075,0.057142857,0.049382716,0.071428575,0.050632913,0.11,0.11578947,0.11111111,0.094827585,0.045454547,0.040816326,0.0776699,0.08,0.083333336,0.060606062,0.083333336,0.086021505,0.030612245,0.086666666,0.09615385,0.10377359,0.2173913
Tretinoin,0.083333336,0.13414635,0.09210526,0.12820514,0.12820514,0.125,0.08955224,0.6956522,1.0,0.086419754,0.07936508,0.13846155,0.078125,0.15873016,0.060606062,0.0625,0.05882353,0.21875,0.05263158,0.097222224,0.10666667,0.06557377,0.0625,0.019607844,0.17142858,0.12162162,0.09615385,0.084745765,0.08928572,0.075,0.14545454,0.07692308,0.05263158,0.08974359,0.06944445,0.074074075,0.1884058,0.055555556,0.11764706,0.045454547,0.06779661,0.053333335,0.08571429,0.10169491,0.06896552,0.08510638,0.04411765,0.05970149,0.04477612,0.0625,0.12903225,0.10344828,0.057971016,0.08064516,0.044444446,0.05,0.067567565,0.08196721,0.09615385,0.05172414,0.16949153,0.078125,0.037037037,0.033333335,0.033707865,0.14117648,0.14117648,0.16666667,0.104477614,0.083333336,0.048387095,0.042857144,0.13157895,0.11827957,0.03508772,0.07017544,0.07692308,0.04225352,0.04477612,0.1392405,0.050847456,0.04347826,0.05172414,0.10344828,0.065789476,0.056818184,0.035714287,0.057971016,0.04494382,0.048780486,0.10227273,0.05263158,0.125,0.085365854,0.04597701,0.048387095,0.0862069,0.0862069,0.15068494,0.072289154,0.035714287,0.029411765,0.06097561,0.027777778,0.036585364,0.071428575,0.0375,0.0776699,0.08163265,0.078431375,0.094827585,0.057471264,0.040816326,0.11,0.05882353,0.06363636,0.060606062,0.083333336,0.097826086,0.041237112,0.086666666,0.0754717,0.07339449,0.2173913
Epimedin C,0.10989011,0.072916664,0.056818184,0.101123594,0.08888889,0.0989011,0.050632913,0.04761905,0.086419754,1.0,0.054054055,0.07692308,0.067567565,0.09210526,0.05263158,0.054054055,0.078947365,0.086419754,0.067961164,0.085365854,0.12048193,0.056338027,0.054054055,0.0,0.12195122,0.08139535,0.06349207,0.0882353,0.028985508,0.06666667,0.057971016,0.093023255,0.060606062,0.07954545,0.06097561,0.07936508,0.08235294,0.102564104,0.09375,0.067567565,0.073529415,0.085365854,0.088607594,0.041666668,0.09090909,0.07017544,0.065789476,0.08,0.06666667,0.055555556,0.09589041,0.13846155,0.10666667,0.05479452,0.0754717,0.08045977,0.12658228,0.08571429,0.13559322,0.07575758,0.112676054,0.097222224,0.06451613,0.014084507,0.07368421,0.091836736,0.091836736,0.10606061,0.06329114,0.10294118,0.056338027,0.077922076,0.10344828,0.08571429,0.078125,0.14516129,0.1764706,0.07692308,0.12676056,0.06382979,0.05882353,0.064935066,0.05970149,0.0882353,0.1097561,0.072916664,0.07777778,0.050632913,0.06185567,0.06666667,0.10309278,0.084337346,0.16666667,0.1,0.10989011,0.056338027,0.08955224,0.08955224,0.11904762,0.1,0.06593407,0.11111111,0.08988764,0.07692308,0.09195402,0.11111111,0.056818184,0.052173913,0.054545455,0.05263158,0.0703125,0.13333334,0.08737864,0.09009009,0.08256881,0.058333334,0.0952381,0.08571429,0.13265306,0.057142857,0.10191083,0.050847456,0.049586777,0.056179777
