parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed,topical_score
EGCG,COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
EMB-3,COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
Asiaticoside,COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
Curcumin,COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
Glabridin,COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
Embelin,COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
Embelin,COc1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,288.29900000000004,2.4889,2,5,68.15,0.9078777774164212,0.9004777774164212
Glabridin,COc1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,288.29900000000004,2.4889,2,5,68.15,0.9078777774164212,0.9004777774164212
EMB-3,COc1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,288.29900000000004,2.4889,2,5,68.15,0.9078777774164212,0.9004777774164212
Asiaticoside,COc1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,288.29900000000004,2.4889,2,5,68.15,0.9078777774164212,0.9004777774164212
Curcumin,COc1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,288.29900000000004,2.4889,2,5,68.15,0.9078777774164212,0.9004777774164212
EGCG,COc1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,288.29900000000004,2.4889,2,5,68.15,0.9078777774164212,0.9004777774164212
EMB-3,Oc1ccc2c(c1)OCC(OC1COc3cc(O)ccc3C1)C2,314.3370000000001,2.4216000000000006,2,5,68.15,0.8908480723411548,0.8385814056744886
EGCG,Oc1ccc2c(c1)OCC(OC1COc3cc(O)ccc3C1)C2,314.3370000000001,2.4216000000000006,2,5,68.15,0.8908480723411548,0.8385814056744886
Glabridin,Oc1ccc2c(c1)OCC(OC1COc3cc(O)ccc3C1)C2,314.3370000000001,2.4216000000000006,2,5,68.15,0.8908480723411548,0.8385814056744886
Curcumin,Oc1ccc2c(c1)OCC(OC1COc3cc(O)ccc3C1)C2,314.3370000000001,2.4216000000000006,2,5,68.15,0.8908480723411548,0.8385814056744886
Asiaticoside,Oc1ccc2c(c1)OCC(OC1COc3cc(O)ccc3C1)C2,314.3370000000001,2.4216000000000006,2,5,68.15,0.8908480723411548,0.8385814056744886
Embelin,Oc1ccc2c(c1)OCC(OC1COc3cc(O)ccc3C1)C2,314.3370000000001,2.4216000000000006,2,5,68.15,0.8908480723411548,0.8385814056744886
Curcumin,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
Asiaticoside,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
Curcumin,COc1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
EMB-3,COc1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
Glabridin,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
Glabridin,COc1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
Embelin,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
EMB-3,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
Embelin,COc1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
Asiaticoside,COc1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
EGCG,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
EGCG,COc1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2OC)c1,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165
EMB-3,COc1cc(C2Cc3c(O)cc(O)cc3OC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
Glabridin,COc1cc(C2Cc3c(O)cc(O)cc3OC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
Glabridin,COc1cc(C2Oc3cc(O)cc(O)c3CC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
EGCG,COc1cc(C2Cc3c(O)cc(O)cc3OC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
