variant_smiles,max_sim_to_known,mean_sim_to_known,parent,mw,logp,hbd,hba,tpsa,qed,topical_score,combined
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.3666666666666666,0.1351714388697527,EMB-3,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219,0.5338111107497553
Oc1ccc2c(c1)OCC(OC1COc3cc(O)ccc3C1)C2,0.3103448275862069,0.1254113089314951,Glabridin,314.3370000000001,2.4216000000000006,2,5,68.15,0.8908480723411548,0.8385814056744886,0.5282365780882816
COc1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,0.3898305084745763,0.134397531010568,Curcumin,288.29900000000004,2.4889,2,5,68.15,0.9078777774164212,0.9004777774164212,0.5106472689418449
COC(=O)c1cc(C2COc3cc(O)ccc3C2)ccc1O,0.3548387096774194,0.1415511787250525,Embelin,300.31,2.6031000000000017,2,5,75.99000000000001,0.833767769304711,0.7650344359713764,0.41019572629395706
COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2OC)c1,0.4,0.1391782329723608,Curcumin,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165,0.4035506981620165
COC(=O)c1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,0.303030303030303,0.1383426341416401,EGCG,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983,0.38658873465539534
COC(=O)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,0.3787878787878788,0.1401994269657203,Embelin,300.31000000000006,2.6031000000000004,2,5,75.99000000000001,0.8337677693047111,0.7650344359713774,0.38624655718349865
COC(=O)c1ccc(O)c(-c2ccc(O)c(OC)c2)c1,0.4222222222222222,0.1336382392209865,Curcumin,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148,0.3789217937966926
OCc1ccc(C=CC2COc3cc(O)ccc3C2)c(O)c1O,0.2465753424657534,0.1167726719596728,Asiaticoside,314.33700000000005,2.560200000000002,4,5,90.15,0.6537972416092435,0.6136639082759089,0.3670885658101555
COc1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,0.3230769230769231,0.1440066701674763,Glabridin,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987,0.36654211460877556
COC(=O)c1ccc(O)c(-c2cc(OC)ccc2O)c1,0.4473684210526316,0.1347008914866387,Asiaticoside,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148,0.35377559496628325
COc1cc(-c2ccc(OC)c(O)c2O)ccc1O,0.3809523809523809,0.1303455047955198,EGCG,262.261,2.487600000000002,3,5,79.15,0.7404854724188736,0.7322188057522082,0.35126642479982734
COC(=O)c1cc(-c2cc(OC)ccc2O)ccc1O,0.45,0.1314281635065642,Curcumin,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146,0.3511440160189146
COc1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2OC)c1,0.4528301886792453,0.1430499038342342,Curcumin,318.32500000000005,2.5032000000000005,3,6,88.38000000000001,0.8056840314953502,0.8035506981620165,0.3507205094827712
COc1cc(C2Cc3c(O)cc(O)cc3OC2OC)ccc1O,0.4528301886792453,0.1436448823211027,Glabridin,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162,0.3507205094827709
COc1ccc(O)c(Oc2ccc(O)c(CO)c2)c1,0.3658536585365853,0.1264761861328352,Glabridin,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152,0.3495320370463299
COC(=O)c1cc(-c2ccc(O)c(OC)c2)ccc1O,0.4523809523809524,0.1353520110377648,Embelin,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146,0.3487630636379622
C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1OC,0.3898305084745763,0.1301926621212119,Asiaticoside,264.321,2.6285000000000007,2,4,58.92,0.823919570965561,0.7382529042988939,0.3484223958243176
COc1ccc(O)c(-c2ccc(OC)c(O)c2O)c1,0.3846153846153846,0.1250775831877881,EMB-3,262.261,2.4876000000000014,3,5,79.15,0.7404854724188736,0.7322188057522079,0.3476034211368233
COC(=O)c1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.34375,0.13720733195585,Asiaticoside,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987,0.34586903768569865
