compound,disease,consensus_score,topical_score
Embelin,scar,0.6873796383539835,0.0455
Aloe-emodin,scar,0.6492767930030823,0.0014
Acetylshikonin,scar,0.645699938138326,0.0131
Baicalein,scar,0.6337615648905436,0.0061
Shikonin,scar,0.6309171517690023,0.0046
Spirulina-derived phycocyanin,scar,0.6294434666633606,0.001
EGCG,scar,0.6234265367190043,0.0194
Rhein,scar,0.6137513915697733,0.0019
Curcumin,scar,0.60926487048467,0.0218
Emodin,scar,0.5996027588844299,0.0021
Calycosin,scar,0.5312207142512003,0.0121
Avenanthramide B,scar,0.5190443992614746,0.003
Tanshinone IIA,scar,0.5169981221357981,0.0025
Wogonin,scar,0.5150429209073385,0.0069
Theaflavin,scar,0.5006975134213766,0.0015
Silymarin,scar,0.4986741642157237,0.0059
Aloin,scar,0.4921579957008362,0.0096
Cryptotanshinone,scar,0.4795079131921132,0.0055
Baicalin,scar,0.4660588006178538,0.0064
Chlorogenic acid,scar,0.4631278316179911,0.0239
Imperatorin,scar,0.4531214535236358,0.0089
Polydatin,scar,0.4529471000035603,0.0149
Caffeic acid,scar,0.4477220276991526,0.0485
Carnosol,scar,0.404922475417455,0.0096
Carnosic acid,scar,0.4006471633911133,0.0265
Honokiol,scar,0.3893874883651733,0.0291
Hyperforin,scar,0.3768888711929321,0.0033
Sulforaphane,scar,0.3689283033212026,0.0069
Withaferin A,scar,0.3321006496747334,0.0381
Betulinic acid,scar,0.3313152194023132,0.0306
Ferulic acid,scar,0.3244462708632151,0.0457
Lupeol,scar,0.3094407121340434,0.0158
Schizandrin A,scar,0.292184645930926,0.0026
Geniposide,scar,0.2920666933059692,0.0123
Andrographolide,scar,0.2912490665912628,0.0346
Salidroside,scar,0.2808036208152771,0.0343
Paeoniflorin,scar,0.2779923230409622,0.0053
Allantoin from Symphytum,scar,0.2637301782766978,0.0183
Calendulin,scar,0.2588632752497991,0.0334
Allantoin,scar,0.2582724591096242,
Oleanolic acid,scar,0.2577433337767918,0.0192
Asiaticoside,scar,0.245967557032903,
Madecassic acid,scar,0.245163748661677,0.0246
Beta-Sitosterol,scar,0.2419743239879608,0.0089
Linalool,scar,0.224998190999031,0.1028
Asiatic acid,scar,0.1919351319471995,0.0191
Ursolic acid,scar,0.1882082199056943,0.0125
Bisabolol,scar,0.1451338430245717,0.0206
Eucalyptol,scar,0.1221934606631596,0.0452
Ellagic acid,pigment,0.6727199951807658,0.0011
Resveratrol,pigment,0.6328907211621603,0.0722
Apigenin,pigment,0.6302197774251302,0.0236
EGCG,pigment,0.6165623267491659,0.0192
Genistein,pigment,0.6078132192293803,0.0216
Daidzein,pigment,0.589997132619222,0.0271
Kojic acid,pigment,0.5662717620531718,0.051
Oxyresveratrol,pigment,0.5659554402033488,0.0575
Naringenin,pigment,0.5394806861877441,0.0652
Phloretin,pigment,0.5368940730889639,0.1083
Mangiferin,pigment,0.5208427309989929,0.0019
Hydroxytyrosol,pigment,0.4805354674657185,0.1251
Arbutin,pigment,0.4712933500607808,0.0589
Azelaic acid,pigment,0.460207333167394,0.2154
Licochalcone A,pigment,0.4336682558059692,0.0181
Glabridin,pigment,0.4106470743815104,0.0182
