compound,acne,alopecia,photoaging,pigment,scar,mean_affinity,std_affinity,n_diseases
Ellagic acid,,,,0.6727199951807658,,0.6727199951807658,,1
Acetylshikonin,,,,,0.645699938138326,0.645699938138326,,1
Embelin,0.599501887957255,0.5766968727111816,0.6883682608604431,,0.6873796383539835,0.6379866649707158,0.05835377086081252,4
Resveratrol,,,0.5817496180534363,0.6328907211621603,,0.6073201696077983,0.036162220805539165,2
Genistein,,,0.5804408093293508,0.6078132192293803,,0.5941270142793655,0.019355216657728595,2
EGCG,0.5697075724601746,0.5907483299573263,0.5492867330710093,0.6165623267491659,0.6234265367190043,0.5899462997913361,0.03119610896413882,5
Oxyresveratrol,,,0.6097025473912557,0.5659554402033488,,0.5878289937973022,0.030933876149863777,2
Spirulina-derived phycocyanin,0.5675319035847982,0.5984060863653818,0.542840818564097,,0.6294434666633606,0.5845555687944094,0.037579630014248765,4
Quercetin,,,0.583148459593455,,,0.583148459593455,,1
Apigenin,0.5352382759253184,,,0.6302197774251302,,0.5827290266752243,0.06716206379779721,2
Retinol,0.5961204369862875,,0.5632482965787252,,,0.5796843667825063,0.02324411339430359,2
Aloe-emodin,0.5041932463645935,0.4932391444842021,0.6418578028678894,,0.6492767930030823,0.5721417466799419,0.0849563872231671,4
Daidzein,,,0.5511163274447123,0.589997132619222,,0.5705567300319672,0.027492880996888857,2
Baicalein,0.4832280178864797,0.499526838461558,0.6573351422945658,,0.6337615648905436,0.5684628908832867,0.08977630867195932,4
Kojic acid,,,,0.5662717620531718,,0.5662717620531718,,1
Curcumin,0.5146546165148417,0.5319494605064392,0.5864186684290568,,0.60926487048467,0.5605719039837519,0.04459709175146257,4
Rhein,0.4865762790044148,0.5055492321650187,0.6103272239367167,,0.6137513915697733,0.5540510316689808,0.06742009984840383,4
Procyanidin B2,,0.5486611525217692,,,,0.5486611525217692,,1
Phloretin,,,0.5333643853664398,0.5368940730889639,,0.5351292292277019,0.0024958661240676526,2
Mangiferin,,,0.528612474600474,0.5208427309989929,,0.5247276027997334,0.0054940383886880615,2
Naringenin,,,0.5058107177416483,0.5394806861877441,,0.5226457019646962,0.02380826301057144,2
Emodin,0.417001336812973,0.4767016172409057,0.57639413078626,,0.5996027588844299,0.5174249609311422,0.08558397138131565,4
Tanshinone IIA,,,,,0.5169981221357981,0.5169981221357981,,1
Avenanthramide B,0.5225008924802145,0.5042498409748077,0.4476833740870158,,0.5190443992614746,0.4983696267008782,0.034705606331393364,4
Wogonin,0.4979353646437327,0.4472218851248423,0.5267943243185679,,0.5150429209073385,0.4967486237486204,0.035079583919665626,4
Theaflavin,0.4902526338895162,0.5114811261494955,0.4758572181065877,,0.5006975134213766,0.494572122891744,0.015191449861341914,4
Aloin,,,,,0.4921579957008362,0.4921579957008362,,1
Berberine,0.4918355643749237,,,,,0.4918355643749237,,1
Shikonin,0.3596622844537099,0.423963189125061,0.5347299377123514,,0.6309171517690023,0.4873181407650312,0.11997002681082779,4
Silymarin,0.453186959028244,0.450897604227066,0.5444741646448771,,0.4986741642157237,0.4868082230289777,0.04429493318819086,4
Hydroxytyrosol,,,0.4790186683336894,0.4805354674657185,,0.479777067899704,0.0010725389519556624,2
Arbutin,,,,0.4712933500607808,,0.4712933500607808,,1
Licochalcone A,0.5067452390988668,,,0.4336682558059692,,0.470206747452418,0.05167323043506395,2
Calycosin,0.4119269947210948,0.4348568518956502,0.4987232486406962,,0.5312207142512003,0.4691819523771604,0.05531075500918262,4
Bakuchiol,,,0.4611529111862182,,,0.4611529111862182,,1
Honokiol,0.5452095369497935,0.4806604385375976,0.4036216835180918,,0.3893874883651733,0.454719786842664,0.07243534513051206,4
Cryptotanshinone,0.4606215556462605,0.4439077377319336,0.4009967744350433,,0.4795079131921132,0.44625849525133765,0.03349612280785036,4
Epimedin C,,0.4452716410160064,,,,0.4452716410160064,,1
Baicalin,0.4068797032038371,0.4089886248111725,0.4763574302196502,,0.4660588006178538,0.43957113971312844,0.03678245772195996,4
Formononetin,,0.3811444342136383,0.4622725546360016,,,0.42170849442481995,0.05736624409557191,2
Polydatin,0.4014756282170613,0.3307941257953644,0.4733011126518249,,0.4529471000035603,0.41462949166695273,0.06353998980199169,4
Glabridin,,,,0.4106470743815104,,0.4106470743815104,,1
Chlorogenic acid,0.3640195826689402,0.3021739025910695,0.5067282319068909,,0.4631278316179911,0.4090123871962229,0.09294385739868401,4
Byakangelicin,,,,0.4064429601033528,,0.4064429601033528,,1
Lupeol,0.4342680970827738,0.4007510244846344,0.4483354389667511,,0.3094407121340434,0.39819881816705066,0.06244781493473107,4
Liquiritin,,,,0.396364947160085,,0.396364947160085,,1
Carnosol,0.4330842792987823,0.3822314937909444,0.3579249580701192,,0.404922475417455,0.3945408016443252,0.03207084803218935,4
4-Methoxyresorcinol,,,,0.3876838187376658,,0.3876838187376658,,1
