compound,acne,alopecia,photoaging,pigment,scar,mean_topical
4-Methoxyresorcinol,,,,0.0469,,0.0469
4-n-butylresorcinol,,,,0.0846,,0.0846
Acetylshikonin,,,,,0.0131,0.0131
Allantoin from Symphytum,,,,,0.0183,0.0183
Aloe-emodin,0.0018,0.0011,0.0014,,0.0014,0.001425
Aloin,,,,,0.0096,0.0096
Andrographolide,0.0376,0.0362,0.0578,,0.0346,0.04155
Apigenin,0.02,,,0.0236,,0.0218
Arbutin,,,,0.0589,,0.0589
Asiatic acid,,,,,0.0191,0.0191
Avenanthramide B,0.003,0.0029,0.0026,,0.003,0.002875
Azelaic acid,0.0755,,,0.2154,,0.14545
Baicalein,0.0046,0.0048,0.0063,,0.0061,0.00545
Baicalin,0.0056,0.0056,0.0066,,0.0064,0.00605
Bakuchiol,,,0.0372,,,0.0372
Berberine,0.0225,,,,,0.0225
Beta-Sitosterol,0.0168,0.0161,0.0137,,0.0089,0.013875
Betulinic acid,0.0292,0.0263,0.0367,,0.0306,0.0307
Bisabolol,0.0269,0.0339,0.0442,,0.0206,0.031400000000000004
Byakangelicin,,,,0.12,,0.12
Caffeic acid,0.0525,0.033,0.0474,,0.0485,0.04535
Calendulin,,,,,0.0334,0.0334
Calycosin,0.0094,0.0099,0.0114,,0.0121,0.010700000000000001
Carnosic acid,0.0259,0.0428,0.0357,,0.0265,0.032725
Carnosol,0.0102,0.015,0.0141,,0.0096,0.012225
Chlorogenic acid,0.0188,0.0156,0.0261,,0.0239,0.0211
Cryptotanshinone,0.0053,0.0051,0.0046,,0.0055,0.005124999999999999
Curcumin,0.0184,0.0191,0.021,,0.0218,0.020075
Daidzein,,,0.0253,0.0271,,0.0262
EGCG,0.0178,0.0184,0.0171,0.0192,0.0194,0.01838
Ellagic acid,,,,0.0011,,0.0011
Embelin,0.0397,0.0637,0.076,,0.0455,0.056225
Emodin,0.0015,0.0017,0.002,,0.0021,0.0018249999999999998
Epimedin C,,0.0014,,,,0.0014
Eucalyptol,0.0689,0.0295,0.0384,,0.0452,0.0455
Ferulic acid,,,0.0551,,0.0457,0.0504
Formononetin,,0.0057,0.0069,,,0.0063
Geniposide,0.009,0.0129,0.0115,,0.0123,0.011425
Genistein,,,0.0206,0.0216,,0.0211
Glabridin,,,,0.0182,,0.0182
Hexylresorcinol,0.0984,,,0.0461,,0.07225000000000001
Honokiol,0.0408,0.0599,0.0503,,0.0291,0.04502500000000001
Hydroxytyrosol,,,0.0748,0.1251,,0.09995
Hyperforin,,,,,0.0033,0.0033
Imperatorin,0.0124,0.0105,0.0122,0.008,0.0089,0.0104
Kojic acid,,,,0.051,,0.051
Licochalcone A,0.0212,,,0.0181,,0.01965
Linalool,0.0499,0.0538,0.0858,,0.1028,0.073075
Liquiritin,,,,0.0121,,0.0121
Lupeol,0.0222,0.0205,0.0229,,0.0158,0.02035
Madecassic acid,,,,,0.0246,0.0246
Mangiferin,,,0.0019,0.0019,,0.0019
Mulberroside A,,,,0.002,,0.002
Naringenin,,,0.0611,0.0652,,0.06315
Niacinamide,0.032,0.0299,0.0543,0.0626,,0.044700000000000004
Oleanolic acid,0.0249,0.0211,0.0261,,0.0192,0.022824999999999998
Oxyresveratrol,,,0.062,0.0575,,0.05975
Paeoniflorin,,,,,0.0053,0.0053
Phloretin,,,0.1075,0.1083,,0.1079
Phloridzin,,,0.0159,0.0185,,0.0172
Polydatin,0.0132,0.0109,0.0156,,0.0149,0.013649999999999999
Procyanidin B2,,0.008,,,,0.008
Quercetin,,,0.0061,,,0.0061
Resveratrol,,,0.0664,0.0722,,0.0693
Retinol,0.0607,,0.0574,,,0.05905
Rhein,0.0015,0.0016,0.0019,,0.0019,0.001725
Salicylic acid,0.0841,,,,,0.0841
Salidroside,0.0282,0.0249,0.0305,,0.0343,0.029474999999999998
Schizandrin A,0.0034,0.0043,0.005,,0.0026,0.003825
Shikonin,0.0026,0.0031,0.0039,,0.0046,0.00355
Silymarin,0.0054,0.0053,0.0064,,0.0059,0.00575
Spirulina-derived phycocyanin,0.0009,0.0009,0.0008,,0.001,0.0009
Sulforaphane,0.0139,0.0072,0.0048,,0.0069,0.008199999999999999
Tanshinone IIA,,,,,0.0025,0.0025
Tea tree oil terpinen-4-ol,0.0512,,,,,0.0512
Tetrahydroxystilbene glucoside,,0.05,,,,0.05
Theaflavin,0.0014,0.0015,0.0014,,0.0015,0.00145
Tyrosol,,,0.0757,0.1662,,0.12095
Ursolic acid,0.0177,0.0185,0.0283,,0.0125,0.01925
Withaferin A,,,,,0.0381,0.0381
Wogonin,0.0067,0.006,0.0071,,0.0069,0.0066749999999999995
alpha-Arbutin,,,,0.0568,,0.0568
