compound,acne,alopecia,photoaging,pigment,scar,mean_affinity,std_affinity,n_diseases
Embelin,0.599501887957255,0.5766968727111816,0.6883682608604431,,0.6873796383539835,0.6379866649707158,0.05835377086081252,4
EGCG,0.5697075724601746,0.5907483299573263,0.5492867330710093,0.6165623267491659,0.6234265367190043,0.5899462997913361,0.03119610896413882,5
Spirulina-derived phycocyanin,0.5675319035847982,0.5984060863653818,0.542840818564097,,0.6294434666633606,0.5845555687944094,0.037579630014248765,4
Aloe-emodin,0.5041932463645935,0.4932391444842021,0.6418578028678894,,0.6492767930030823,0.5721417466799419,0.0849563872231671,4
Baicalein,0.4832280178864797,0.499526838461558,0.6573351422945658,,0.6337615648905436,0.5684628908832867,0.08977630867195932,4
Curcumin,0.5146546165148417,0.5319494605064392,0.5864186684290568,,0.60926487048467,0.5605719039837519,0.04459709175146257,4
Rhein,0.4865762790044148,0.5055492321650187,0.6103272239367167,,0.6137513915697733,0.5540510316689808,0.06742009984840383,4
Emodin,0.417001336812973,0.4767016172409057,0.57639413078626,,0.5996027588844299,0.5174249609311422,0.08558397138131565,4
Avenanthramide B,0.5225008924802145,0.5042498409748077,0.4476833740870158,,0.5190443992614746,0.4983696267008782,0.034705606331393364,4
Wogonin,0.4979353646437327,0.4472218851248423,0.5267943243185679,,0.5150429209073385,0.4967486237486204,0.035079583919665626,4
Theaflavin,0.4902526338895162,0.5114811261494955,0.4758572181065877,,0.5006975134213766,0.494572122891744,0.015191449861341914,4
Shikonin,0.3596622844537099,0.423963189125061,0.5347299377123514,,0.6309171517690023,0.4873181407650312,0.11997002681082779,4
Silymarin,0.453186959028244,0.450897604227066,0.5444741646448771,,0.4986741642157237,0.4868082230289777,0.04429493318819086,4
Calycosin,0.4119269947210948,0.4348568518956502,0.4987232486406962,,0.5312207142512003,0.4691819523771604,0.05531075500918262,4
Honokiol,0.5452095369497935,0.4806604385375976,0.4036216835180918,,0.3893874883651733,0.454719786842664,0.07243534513051206,4
Cryptotanshinone,0.4606215556462605,0.4439077377319336,0.4009967744350433,,0.4795079131921132,0.44625849525133765,0.03349612280785036,4
Baicalin,0.4068797032038371,0.4089886248111725,0.4763574302196502,,0.4660588006178538,0.43957113971312844,0.03678245772195996,4
Polydatin,0.4014756282170613,0.3307941257953644,0.4733011126518249,,0.4529471000035603,0.41462949166695273,0.06353998980199169,4
Chlorogenic acid,0.3640195826689402,0.3021739025910695,0.5067282319068909,,0.4631278316179911,0.4090123871962229,0.09294385739868401,4
