indication,indication_label,target_symbol,target_name,ot_score,emb3_affinity
skin_fibrosis_keloid,Hypertrophic / keloid scar,SMAD6,SMAD family member 6,0.7808364403091642,
skin_fibrosis_keloid,Hypertrophic / keloid scar,ELN,elastin,0.7801603747601472,
skin_fibrosis_keloid,Hypertrophic / keloid scar,ROBO4,roundabout guidance receptor 4,0.7753529829243394,
skin_fibrosis_keloid,Hypertrophic / keloid scar,FLNA,filamin A,0.7685296554091587,
skin_fibrosis_keloid,Hypertrophic / keloid scar,NOTCH1,notch receptor 1,0.7483914996672884,
skin_fibrosis_keloid,Hypertrophic / keloid scar,DCHS1,dachsous cadherin-related 1,0.7246358917083309,
skin_fibrosis_keloid,Hypertrophic / keloid scar,TBX5,T-box transcription factor 5,0.6471218706422613,
skin_fibrosis_keloid,Hypertrophic / keloid scar,FBN1,fibrillin 1,0.6374474975577183,
skin_fibrosis_keloid,Hypertrophic / keloid scar,IL6,interleukin 6,0.5585163185799906,
skin_fibrosis_keloid,Hypertrophic / keloid scar,LPA,lipoprotein(a),0.5567525475892877,
skin_fibrosis_keloid,Hypertrophic / keloid scar,DZIP1,DAZ interacting zinc finger protein 1,0.5535178394088219,
skin_fibrosis_keloid,Hypertrophic / keloid scar,SORT1,sortilin 1,0.5078629330129996,
skin_fibrosis_keloid,Hypertrophic / keloid scar,PRRX1,paired related homeobox 1,0.5010194820249891,
skin_fibrosis_keloid,Hypertrophic / keloid scar,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19,0.4825334082737715,
skin_fibrosis_keloid,Hypertrophic / keloid scar,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,0.47570355455357427,
skin_fibrosis_keloid,Hypertrophic / keloid scar,MECOM,MDS1 and EVI1 complex locus,0.46202301639582616,
skin_fibrosis_keloid,Hypertrophic / keloid scar,TTN,titin,0.45148324527840933,
skin_fibrosis_keloid,Hypertrophic / keloid scar,ZEB2,zinc finger E-box binding homeobox 2,0.4508020038972954,
