cif,target,compound,status,n_pass,n_total,pb_sanitization,pb_inchi_convertible,pb_all_atoms_connected,pb_no_radicals,pb_bond_lengths,pb_bond_angles,pb_internal_steric_clash,pb_aromatic_ring_flatness,pb_non-aromatic_ring_non-flatness,pb_double_bond_flatness,pb_internal_energy,pb_protein-ligand_maximum_distance,pb_minimum_distance_to_protein,pb_minimum_distance_to_organic_cofactors,pb_minimum_distance_to_inorganic_cofactors,pb_minimum_distance_to_waters,pb_volume_overlap_with_protein,pb_volume_overlap_with_organic_cofactors,pb_volume_overlap_with_inorganic_cofactors,pb_volume_overlap_with_waters
/home/crazat/genesis_medicine/pilot/scaffold_hop_round2/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r2_3/mmp1__r2_3_model_0.cif,mmp1,r2_3,bond_assign_failed: No matching found,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/scaffold_hop_round2/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r2_1/mmp1__r2_1_model_0.cif,mmp1,r2_1,bond_assign_failed: No matching found,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/scaffold_hop_round2/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r2_1/tgfb1__r2_1_model_0.cif,tgfb1,r2_1,bond_assign_failed: No matching found,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/scaffold_hop_round2/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r2_2/tgfb1__r2_2_model_0.cif,tgfb1,r2_2,bond_assign_failed: No matching found,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/scaffold_hop_round2/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r2_3/tgfb1__r2_3_model_0.cif,tgfb1,r2_3,bond_assign_failed: No matching found,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/scaffold_hop_round2/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r2_2/mmp1__r2_2_model_0.cif,mmp1,r2_2,bond_assign_failed: No matching found,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_9/mmp1__r3_9_model_0.cif,mmp1,r3_9,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_4/mmp1__r3_4_model_0.cif,mmp1,r3_4,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_8/mmp1__r3_8_model_0.cif,mmp1,r3_8,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_9/tgfb1__r3_9_model_0.cif,tgfb1,r3_9,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_3/mmp1__r3_3_model_0.cif,mmp1,r3_3,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_12/mmp1__r3_12_model_0.cif,mmp1,r3_12,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_6/tgfb1__r3_6_model_0.cif,tgfb1,r3_6,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_11/tgfb1__r3_11_model_0.cif,tgfb1,r3_11,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_6/mmp1__r3_6_model_0.cif,mmp1,r3_6,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_5/mmp1__r3_5_model_0.cif,mmp1,r3_5,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_13/mmp1__r3_13_model_0.cif,mmp1,r3_13,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_14/tgfb1__r3_14_model_0.cif,tgfb1,r3_14,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_7/mmp1__r3_7_model_0.cif,mmp1,r3_7,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_5/tgfb1__r3_5_model_0.cif,tgfb1,r3_5,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_4/tgfb1__r3_4_model_0.cif,tgfb1,r3_4,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_8/tgfb1__r3_8_model_0.cif,tgfb1,r3_8,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_11/mmp1__r3_11_model_0.cif,mmp1,r3_11,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_2/tgfb1__r3_2_model_0.cif,tgfb1,r3_2,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_12/tgfb1__r3_12_model_0.cif,tgfb1,r3_12,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_7/tgfb1__r3_7_model_0.cif,tgfb1,r3_7,ok,19,20,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_1/mmp1__r3_1_model_0.cif,mmp1,r3_1,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_13/tgfb1__r3_13_model_0.cif,tgfb1,r3_13,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_15/mmp1__r3_15_model_0.cif,mmp1,r3_15,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_1/tgfb1__r3_1_model_0.cif,tgfb1,r3_1,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_10/tgfb1__r3_10_model_0.cif,tgfb1,r3_10,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_10/mmp1__r3_10_model_0.cif,mmp1,r3_10,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_3/tgfb1__r3_3_model_0.cif,tgfb1,r3_3,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/tgfb1__r3_15/tgfb1__r3_15_model_0.cif,tgfb1,r3_15,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_2/mmp1__r3_2_model_0.cif,mmp1,r3_2,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/scaffold_hop_round3/boltz_output/boltz_results_boltz_inputs/predictions/mmp1__r3_14/mmp1__r3_14_model_0.cif,mmp1,r3_14,ok,18,20,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Paeoniflorin/dct__Paeoniflorin_model_0.cif,dct,Paeoniflorin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Licochalcone_A/dct__Licochalcone_A_model_0.cif,dct,Licochalcone_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
