compound,smiles,source_csv,mw,logp,logKp,pbk_cmax_pmol_mL,pbk_tmax_h,pbk_F_systemic,sara_ghs,sara_p_strong,sara_alerts,covalent_warheads,cys_mmp1,cys_tyr
Beta-Sitosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,skin_compounds_curated.csv,414.71800000000025,8.02480000000001,-3.1321717999999947,0.017476373303866748,6.65,35.803160479919946,None,0.08000000000000002,,,Cys278,Cys81
Hyperforin,CC(C)C(=O)[C@]12C(=O)C(=C([C@](C1=O)(C[C@@H]([C@@]2(C)CCC=C(C)C)CC=C(C)C)CC=C(C)C)O)CC=C(C)C,skin_compounds_curated.csv,536.7970000000003,8.989700000000003,-3.1917747,0.017466727338175878,6.7,35.68484222463427,1B,0.24000000000000005,michael_acceptor;schiff_base_former,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys278,Cys81
Lupeol,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C,skin_compounds_curated.csv,426.72900000000027,8.02480000000001,-3.2054388999999945,0.01746426922068884,6.7,35.65262145804587,None,0.08000000000000002,,,Cys278,Cys81
Oleanolic acid,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,skin_compounds_curated.csv,456.7110000000003,7.233600000000009,-3.9500810999999962,0.01624403794948766,9.450000000000001,31.314151564946542,None,0.16000000000000003,schiff_base_former,,Cys278,Cys81
Betulinic acid,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,skin_compounds_curated.csv,456.7110000000003,7.089500000000008,-4.052392099999997,0.015726996273792773,10.3,29.973472444090707,None,0.16000000000000003,schiff_base_former,,Cys278,Cys81
Ursolic acid,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,skin_compounds_curated.csv,456.7110000000002,7.089500000000008,-4.052392099999995,0.015726996273792697,10.3,29.973472444090657,None,0.16000000000000003,schiff_base_former,,Cys278,Cys81
Bakuchiol,CC(=CCC[C@@](C)(C=C)/C=C/C1=CC=C(C=C1)O)C,skin_compounds_curated.csv,256.389,5.344100000000005,-4.069661899999996,0.015628426221021088,10.450000000000001,29.7195602991031,None,0.08000000000000002,,,Cys278,Cys81
Retinol,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,skin_compounds_curated.csv,286.45900000000006,5.510300000000006,-4.135086899999996,0.015226954690558061,11.100000000000001,28.68298401522269,None,0.08000000000000002,,,Cys278,Cys81
Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,acne_compounds.csv,300.44200000000006,5.602600000000005,-4.154850199999997,0.015089182273061611,11.25,28.348307585821022,1B,0.24000000000000005,michael_acceptor;schiff_base_former,michael_acceptor_acrylate;michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys278,Cys81
Epimedin C,C1CCC(CC1)N(C2=NC=C(S2)C(=O)O)C(=O)C3=CC=C(C=C3)OC4=CC=C(C=C4)Cl,skin_compounds_curated.csv,456.95100000000014,6.266500000000005,-4.638186099999998,0.0109551982216827,18.0,17.598759934846917,1B,0.24000000000000005,schiff_base_former;anilide,,Cys278,Cys81
