disease,compound,smiles,logKp_cm_h_potts_guy,pbk_cmax_dermis_pmol_per_mL,pbk_tmax_h,pbk_auc_dermis,pbk_systemic_F,sara_ghs_category,sara_p_strong_sensitizer,sara_alerts,covalent_warheads,covalent_target_cys
pigmentation,Licochalcone A,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)c(C(C)(C)C=C)c1,-4.893298699999997,0.08465774157272703,23.200000000000003,1.3226123704600843,11.834196844697349,1B,0.24000000000000005,michael_acceptor;schiff_base_former,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys81
pigmentation,Glabridin,CC(C)(C=C)c1ccc(C2COc3cc(O)ccc3C2)c(O)c1O,-5.3258705999999965,0.044471656304407546,24.0,0.6064718488362888,5.173752727474849,None,0.08000000000000002,,,Cys81
pigmentation,EGCG,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(OC(=O)c1cc(O)c(O)c(O)c1)C2,-7.399837100000001,0.00046873365626187957,24.0,0.005872674408161746,0.0485435826840524,None,0.16000000000000003,schiff_base_former,,Cys81
pigmentation,Kojic acid,OCC1=CC(=O)C(O)=CO1,-7.2452112,0.0006680940188809134,24.0,0.008375266258585215,0.06930422447937165,None,0.08000000000000002,,,Cys81
pigmentation,Arbutin,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,-8.8770235,1.563868065246762e-05,24.0,0.00019672226134112838,0.001618688149988549,None,0.08000000000000002,,,Cys81
pigmentation,Mulberroside A,OC[C@H]1O[C@@H](Oc2ccc(/C=C/c3cc(O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)c3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,-11.257083200000002,1.7452686197949464e-07,21.6,1.2192712289882178e-06,6.407815534648926e-06,None,0.08000000000000002,,,Cys81
pigmentation,Oxyresveratrol,Oc1ccc(/C=C/c2cc(O)c(O)cc2O)cc1,-5.8137409999999985,0.01679788565768889,24.0,0.2163450545715978,1.8080646996670682,None,0.08000000000000002,,,Cys81
pigmentation,Puerarin,OC[C@H]1O[C@@H](c2c(O)cc(O)c3c2OC=C(c2ccc(O)cc2)C3=O)[C@H](O)[C@@H](O)[C@@H]1O,-8.749441100000002,2.0995631435626342e-05,24.0,0.00026344227121677334,0.0021709497981115006,None,0.08000000000000002,,,Cys81
pigmentation,Daidzein,Oc1ccc(C2COc3cc(O)ccc3C2=O)cc1,-6.045125099999999,0.010165139851626152,24.0,0.12940994934467656,1.076979944421561,None,0.16000000000000003,schiff_base_former,,Cys81
pigmentation,Kazinol B,CC(C)=CCc1c(O)cc2OC(c3ccc(O)cc3)CC(=O)c2c1O,-5.400105499999999,0.038799119119000615,24.0,0.5221463970791962,4.432724056962286,None,0.16000000000000003,schiff_base_former,,Cys81
pigmentation,Paeoniflorin,CC12C(O)CC3(O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4OC(=O)c4ccccc4)C1OC2(O)C3,-10.3846061,5.701734950990656e-07,20.700000000000003,5.910582011506013e-06,5.057225016261698e-05,None,0.16000000000000003,schiff_base_former,,Cys81
pigmentation,Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,-6.0315435,0.010473528875673306,24.0,0.13340625805848866,1.110451788668377,1B,0.24000000000000005,michael_acceptor;schiff_base_former,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys81
pigmentation,Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,-5.5071230999999985,0.03158250031027571,24.0,0.41848899247018856,3.5327258574065,None,0.08000000000000002,,,Cys81
pigmentation,Hydroquinone,Oc1ccc(O)cc1,-6.1553524,0.007961922170993426,24.0,0.1010144869604176,0.8394941085019232,None,0.08000000000000002,,,Cys81
pigmentation,Niacinamide,NC(=O)c1cccnc1,-6.8799269,0.0015435858243741747,24.0,0.019377117658885543,0.16042674213554298,None,0.16000000000000003,schiff_base_former,,Cys81
alopecia,Emodin,Cc1cc(O)c2C(=O)c3cc(O)cc(O)c3C(=O)c2c1,-6.5470498,0.0032976297263311175,24.0,0.04151085769153603,0.3439778577142618,None,0.16000000000000003,schiff_base_former,,
alopecia,Physcion,COc1cc(O)c2C(=O)c3cc(O)cc(C)c3C(=O)c2c1,-6.4051869,0.004546340891712404,24.0,0.05735300157378241,0.4756734443850656,None,0.16000000000000003,schiff_base_former,,
alopecia,Astragaloside IV,CC1(C)CCC2(CC1OC1OC(CO)C(O)C(O)C1OC1OCC(O)C1O)C1CC=C3C4(C)C(O)CCC4(CO)CCC3(C)C12,-9.1643413,8.07761219699055e-06,24.0,0.00010320938658703408,0.0008330748188594223,None,0.08000000000000002,,,
alopecia,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,-6.3590406,0.005046153108743064,24.0,0.06370113914374576,0.5284765259622959,1B,0.24000000000000005,michael_acceptor;schiff_base_former,michael_acceptor_acrylate;michael_acceptor_alpha_beta_unsaturated_carbonyl,
alopecia,Ginsenoside Rg1,CC(=CCCC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1CCC2(C)C1C(O)CC1C2(C)CCC2C(C)(C)C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@@]12C)C,-9.1201489,8.9427074475906e-06,24.0,0.00011421377628189869,0.0009223525582894477,None,0.08000000000000002,,,
alopecia,Ginsenoside Rb1,CC(=CCCC(C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)C1CCC2(C)C1C(O)CC1C2(C)CCC2C(C)(C)C(O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@@]12C)C,-14.064929099999986,1.8558390232444598e-07,15.3,4.155489273178146e-07,-3.6466018133383835e-07,None,0.08000000000000002,,,
alopecia,Procyanidin B2,Oc1cc(O)c2C(c3c(O)cc(O)c4c3OC(c3ccc(O)c(O)c3)C(O)C4)C(O)C(c3ccc(O)c(O)c3)Oc2c1,-7.5426898000000016,0.0003376880620436187,24.0,0.004227693919540645,0.03494095780439482,None,0.08000000000000002,,,
alopecia,Biochanin A,COc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1,-6.2098800999999995,0.007055098198969394,24.0,0.08932380020209456,0.7417640019279911,None,0.16000000000000003,schiff_base_former,,
alopecia,Genistein,Oc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1,-6.351743,0.0051298105926883,24.0,0.06476641488703797,0.5373390692865536,None,0.16000000000000003,schiff_base_former,,
alopecia,Saponin Re,CC(=CCC[C@@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1CCC2(C)C1C(O)CC1C2(C)CC[C@@H]2C(C)(C)[C@H](OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)CC[C@@]12C)C,-11.592538999999995,5.938385729353509e-08,6.0,4.751022478519397e-07,3.0294124521622034e-06,None,0.08000000000000002,,,
alopecia,Finasteride,O=C1NC(C(=O)NC(C)(C)C)C2CCC3(C)C2C1CCC1C3CCC1=O,-6.571793200000002,0.003117325360712772,24.0,0.03923040391833196,0.32504545596122414,None,0.16000000000000003,schiff_base_former,,
alopecia,Thujin,COc1cc2C(=O)C=CC(=O)c2c(OC)c1OC,-6.570645799999999,0.0031254650178426883,24.0,0.03933334738559549,0.3258998418106459,1B,0.24000000000000005,michael_acceptor;schiff_base_former,michael_acceptor_alpha_beta_unsaturated_carbonyl,
alopecia,Tanshinone IIA,CC1=Cc2c(C)cc3OC=C(C)C(=O)c3c2C(=O)c2cccc1c2,-4.925925399999998,0.08155300081082711,23.950000000000003,1.2561362757955619,11.182773638469461,None,0.16000000000000003,schiff_base_former,,
alopecia,EGCG,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(OC(=O)c1cc(O)c(O)c(O)c1)C2,-7.399837100000001,0.00046873365626187957,24.0,0.005872674408161746,0.0485435826840524,None,0.16000000000000003,schiff_base_former,,
acne,Berberine,CN1Cc2c(c3OCOc3cc2OC)C2=Nc3cc4OCOc4cc3CC12,-6.5473118999999995,0.003295667542885476,24.0,0.041486027131887274,0.34377171560324166,None,0.08000000000000002,,,
acne,Palmatine,COc1ccc2c(c1OC)CC1=Nc3cc4OCOc4cc3C[N+]1(C)C2,-6.069512999999999,0.009636879445755604,24.0,0.12253743058090033,1.0189943546797344,None,0.08000000000000002,,,
acne,Baicalein,Oc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1O,-6.057447999999999,0.009892792797568774,24.0,0.1258840647150113,1.0474623602558844,None,0.08000000000000002,,,
acne,Baicalin,O=C1c2c(O)c(O)c(OC3OC(C(=O)O)C(O)C(O)C3O)cc2OC(c2ccccc2)=C1,-8.811180000000002,1.8289757138968052e-05,24.0,0.00023041085915902367,0.001880943401031582,None,0.16000000000000003,schiff_base_former,,
acne,Wogonin,COc1ccc(O)cc1Oc1cc(=O)c2c(O)cc(O)cc2o1,-6.2308339,0.006729005931761915,24.0,0.08518609955745383,0.7073576747831773,None,0.08000000000000002,,,
acne,Licochalcone A,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)c(C(C)(C)C=C)c1,-4.893298699999997,0.08465774157272703,23.200000000000003,1.3226123704600843,11.834196844697349,1B,0.24000000000000005,michael_acceptor;schiff_base_former,michael_acceptor_alpha_beta_unsaturated_carbonyl,
