compound,pe_name,pe_inci,enhancement,safety
EMB-3,Oleic acid,Oleic Acid,2-7x,GRAS
EMB-3,Propylene glycol,Propylene Glycol,2-5x,GRAS
EMB-3,Niacinamide co-stack,Niacinamide,2-4x (stack),GRAS
EGCG,Oleic acid,Oleic Acid,2-7x,GRAS
EGCG,Propylene glycol,Propylene Glycol,2-5x,GRAS
EGCG,Niacinamide co-stack,Niacinamide,2-4x (stack),GRAS
Asiaticoside,Oleic acid,Oleic Acid,2-7x,GRAS
Asiaticoside,Propylene glycol,Propylene Glycol,2-5x,GRAS
Asiaticoside,Niacinamide co-stack,Niacinamide,2-4x (stack),GRAS
Berberine,Oleic acid,Oleic Acid,2-7x,GRAS
Berberine,Propylene glycol,Propylene Glycol,2-5x,GRAS
Berberine,Niacinamide co-stack,Niacinamide,2-4x (stack),GRAS
Curcumin,Oleic acid,Oleic Acid,2-7x,GRAS
Curcumin,Propylene glycol,Propylene Glycol,2-5x,GRAS
Curcumin,Niacinamide co-stack,Niacinamide,2-4x (stack),GRAS
