compound,target,has_warhead,warheads,cys_target,consensus
Beta-Sitosterol,MMP1,False,,Cys278,non_covalent_only
Beta-Sitosterol,MMP3,False,,Cys100,non_covalent_only
Beta-Sitosterol,MMP9,False,,Cys99,non_covalent_only
Beta-Sitosterol,TGFB1,False,,Cys223,non_covalent_only
Beta-Sitosterol,CTGF,False,,,non_covalent_only
Beta-Sitosterol,TYR,False,,Cys81,non_covalent_only
Beta-Sitosterol,SIRT1,False,,Cys371,non_covalent_only
Beta-Sitosterol,SRD5A2,False,,,non_covalent_only
Beta-Sitosterol,AR,False,,,non_covalent_only
Hyperforin,MMP1,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys278,covalent_capable
Hyperforin,MMP3,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys100,covalent_capable
Hyperforin,MMP9,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys99,covalent_capable
Hyperforin,TGFB1,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys223,covalent_capable
Hyperforin,CTGF,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,,covalent_capable
Hyperforin,TYR,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys81,covalent_capable
Hyperforin,SIRT1,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,Cys371,covalent_capable
Hyperforin,SRD5A2,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,,covalent_capable
Hyperforin,AR,True,michael_acceptor_alpha_beta_unsaturated_carbonyl,,covalent_capable
Lupeol,MMP1,False,,Cys278,non_covalent_only
Lupeol,MMP3,False,,Cys100,non_covalent_only
Lupeol,MMP9,False,,Cys99,non_covalent_only
Lupeol,TGFB1,False,,Cys223,non_covalent_only
Lupeol,CTGF,False,,,non_covalent_only
Lupeol,TYR,False,,Cys81,non_covalent_only
Lupeol,SIRT1,False,,Cys371,non_covalent_only
Lupeol,SRD5A2,False,,,non_covalent_only
Lupeol,AR,False,,,non_covalent_only
Oleanolic acid,MMP1,False,,Cys278,non_covalent_only
Oleanolic acid,MMP3,False,,Cys100,non_covalent_only
Oleanolic acid,MMP9,False,,Cys99,non_covalent_only
Oleanolic acid,TGFB1,False,,Cys223,non_covalent_only
Oleanolic acid,CTGF,False,,,non_covalent_only
Oleanolic acid,TYR,False,,Cys81,non_covalent_only
Oleanolic acid,SIRT1,False,,Cys371,non_covalent_only
Oleanolic acid,SRD5A2,False,,,non_covalent_only
Oleanolic acid,AR,False,,,non_covalent_only
Betulinic acid,MMP1,False,,Cys278,non_covalent_only
Betulinic acid,MMP3,False,,Cys100,non_covalent_only
Betulinic acid,MMP9,False,,Cys99,non_covalent_only
Betulinic acid,TGFB1,False,,Cys223,non_covalent_only
Betulinic acid,CTGF,False,,,non_covalent_only
Betulinic acid,TYR,False,,Cys81,non_covalent_only
