compound,tahoe_matched,cell_lines
Beta-Sitosterol,False,
Hyperforin,False,
Lupeol,False,
Oleanolic acid,False,
Betulinic acid,False,
Ursolic acid,False,
Bakuchiol,False,
Retinol,False,
Tretinoin,True,HL-60
Epimedin C,False,
Rapanone,False,
Bisabolol,False,
Tetrahydroxystilbene glucoside,False,
Calendulin,False,
Honokiol,False,
Embelin,False,
5-O-methyl-Embelin,False,
Tanshinone IIA,False,
Magnolol,False,
Imperatorin,False,
Licochalcone A,False,
Hexylresorcinol,False,
3-decyl-2-5-dihydroxy-benzoquinone,False,
alpha-Arbutin,False,
Carnosic acid,False,
Carnosol,False,
Eucalyptol,False,
Pterostilbene,False,
Linalool,False,
Glabridin,False,
Tea tree oil terpinen-4-ol,False,
Capsaicin,False,
Menthol,False,
Kazinol B,False,
Schizandrin A,False,
Resveratrol,True,HepG2
Cryptotanshinone,False,
Formononetin,False,
Asiatic acid,False,
Daidzein,False,
Oxyresveratrol,False,
Calycosin,False,
Wogonin,False,
EMB-3,False,
4-n-butylresorcinol,False,
Azelaic acid,False,
Genistein,False,
Baicalein,False,
Apigenin,False,
Berberine,True,HCT116
Curcumin,True,A549
Paeonol,False,
Naringenin,False,
Acetylshikonin,False,
Hydroquinone,False,
Palmatine,False,
Biochanin A,False,
Phloretin,False,
Salicylic acid,False,
2-hydroxy-naphthoquinone,False,
Ferulic acid,False,
Physcion,False,
Tyrosol,False,
Sulforaphane,False,
Spirulina-derived phycocyanin,False,
Asiaticoside,False,
Madecassic acid,False,
Caffeic acid,False,
Shikonin,False,
Emodin,False,
Thujin,False,
Quercetin,False,
Finasteride,False,
Withaferin A,False,
Hydroxytyrosol,False,
Niacinamide,False,
Rhein,False,
Epicatechin,False,
Aloe-emodin,False,
Andrographolide,False,
Ellagic acid,False,
Epigallocatechin,False,
Kojic acid,False,
4-Methoxyresorcinol,False,
EGCG,True,MCF7
Silymarin,False,
Procyanidin B2,False,
Marimastat,False,
Avenanthramide B,False,
Theaflavin,False,
Salvianolic acid B,False,
Polydatin,False,
Byakangelicin,False,
Mulberroside A,False,
Liquiritin,False,
Ascorbic acid,False,
Allantoin from Symphytum,False,
Allantoin,False,
Chlorogenic acid,False,
Baicalin,False,
Puerarin,False,
Arbutin,False,
Phloridzin,False,
Salidroside,False,
Aloin,False,
Geniposide,False,
Mangiferin,False,
Saponin Re,False,
Ginsenoside Rg1,False,
Ginsenoside Rg3,False,
Madecassoside,False,
Sennoside A,False,
Mogroside V,False,
Glycyrrhizin,False,
Icariin,False,
Saikosaponin A,False,
Hesperidin,False,
Acteoside (Verbascoside),False,
Paeoniflorin,False,
Avenanthramide A,False,
Punicalagin,False,
Astragaloside IV,False,
Ginsenoside Rb1,False,
Crocin,False,
