smiles,smiles_canon,score,tanimoto_to_seed,MW,logP,HBD,HBA,TPSA,hERG,Skin_Reaction,AMES,ClinTox,Solubility_AqSolDB,Bioavailability_Ma
CCCCCCCCC1=C(O)C(O)C(C(=O)O)=C(O)C1=O,CCCCCCCCC1=C(O)C(O)C(C(=O)O)=C(O)C1=O,0.8558730761999648,0.5,298.33500000000004,2.3894,4,5,115.06,0.22357783,0.52338827,0.076258466,0.13828167,-2.5603023,0.6649572
CCCCCCCC1=C(O)C(=O)C2=C(O)CN(C)C(=O)C12,CCCCCCCC1=C(O)C(=O)C2=C(O)CN(C)C(=O)C12,0.8541053293465628,0.419753086419753,293.363,2.6420000000000012,2,4,77.84,0.1940946,0.54149455,0.11891129,0.05869921,-3.0604298,0.79199773
CCCCCC1=C(O)C(=O)C(O)=C(C)C1=O,CCCCCC1=C(O)C(=O)C(O)=C(C)C1=O,0.8481725206281946,0.4492753623188406,224.25599999999997,2.3626000000000005,2,4,74.6,0.15505387,0.6672781,0.106396295,0.06758581,-2.472361,0.76681364
CCCCCC1=C(O)C(=O)C(=O)C(C)=C1O,CCCCCC1=C(O)C(=O)C(=O)C(C)=C1O,0.8405278086358949,0.4285714285714285,224.25599999999997,2.3626,2,4,74.6,0.1693557,0.7039266,0.15864761,0.069636986,-2.5936158,0.7605299
CCCCCC1=C(O)C(=O)C(C)=C(O)C1=O,CCCCCC1=C(O)C(=O)C(C)=C(O)C1=O,0.8366862239488807,0.4492753623188406,224.25599999999997,2.3626,2,4,74.6,0.16729693,0.7325246,0.18897417,0.061376214,-2.051479,0.7829969
COCCCCCCCC1=C(O)C(=O)C(C)C1=O,COCCCCCCCC1=C(O)C(=O)C(C)C1=O,0.8362647580296905,0.4078947368421052,254.326,2.5734000000000004,1,4,63.6,0.21412186,0.7257782,0.18022361,0.05644433,-2.1810887,0.7489311
CCCCC(C)C1=C(O)C(=O)C(O)=C(O)C1=O,CCCCC(C)C1=C(O)C(=O)C(O)=C(O)C1=O,0.834201947565571,0.2911392405063291,240.25499999999997,2.1042,3,5,94.83000000000001,0.16523725,0.5610331,0.16834748,0.0921817,-1.794276,0.83139783
CCCCCCCCC1=C(O)C(=O)C(C)(O)C1=O,CCCCCCCCC1=C(O)C(=O)C(C)(O)C1=O,0.8327724474924434,0.5142857142857142,254.326,2.4519000000000006,2,4,74.6,0.2326397,0.7750265,0.12718901,0.037431,-3.2546055,0.68670833
CCCCCCCCOCC1=C(O)C(=O)C(O)(CCC)C(=O)C1=O,CCCCCCCCOCC1=C(O)C(=O)C(O)(CCC)C(=O)C1=O,0.8288683436534515,0.4470588235294118,340.4160000000001,2.4277000000000006,2,6,100.9,0.29756984,0.6733953,0.19820094,0.041458745,-3.7471504,0.71038276
CCCCCCCC1=C(O)C(=O)C(C)=CC(O)C1=O,CCCCCCCC1=C(O)C(=O)C(C)=CC(O)C1=O,0.8249683574469474,0.4931506849315068,266.337,2.6180000000000008,2,4,74.6,0.30371356,0.69657934,0.11817074,0.058362376,-2.8397362,0.7324606
