SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
CCCCCCCCc1c(O)c(=O)c(=O)c1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4647887323943662,7.74
CCCCCCCCC1=C(O)C(=O)CC(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5070422535211268,5.11
CCCCCCCCC1=C(O)C(=O)C(C)(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5142857142857142,5.1
O=C1C=C(O)C(=O)C(CCCCCc2ccccc2)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4810126582278481,5.03
CCCCCCCCC1=C(O)C(=O)C(C)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5352112676056338,5.84
C=CCCCCCCCC1=C(O)C(=O)CCC1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.38461538461538464,12.43
CCCCCCCCCCC1=C(O)C(=O)C(C)(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5774647887323944,5.7
CCCC(C)C1=C(O)C(=O)C(O)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.25316455696202533,8.25
CCCCCCCCc1cc(CC)cc(CC)c1CC1=C(O)C(=O)C=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5681818181818182,17.72
CCCCCCCCCC1=C(O)C(=O)C(CC)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5753424657534246,5.65
CCCCC(C)C1=C(O)C(=O)C(O)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.2911392405063291,6.95
CCCCCCCCCC1=C(O)C(=O)C(C)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5774647887323944,6.87
CCCCCCCCCC1=C(O)C(=O)C(C(C)C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5135135135135135,8.58
CCCCCCc1ccc(C2=C(O)C(=O)C=C(O)C2=O)o1,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.48717948717948717,9.86
CCCCCCCCCN1C(=O)C(C)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4657534246575342,7.7
CCCCCCCCCCSCC1=C(O)C(=O)CC(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5063291139240507,9.28
CCCCCCCC1C(O)=C(O)CC(=O)C(O)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3625,11.17
CCCCCCCCC1=C(O)CC(C)=C(O)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5342465753424658,13.81
CCCCCCCCCC1=C(O)C(=O)C(C)C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5342465753424658,7.5
CCCCCCCCC1=C(O)C(=O)C(C)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5797101449275363,4.67
C=CCCCCCCc1c(O)c(=O)c(=O)c1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.31645569620253167,10.95
CCCCCCOCCCCC1=C(O)C(=O)C(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.44871794871794873,10.07
CCCCCCCCC1=C(O)C(=O)C(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5072463768115942,4.06
CCCCCCCC1=C(O)C(=O)C2=C(O)CN(C)C(=O)C12,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.41975308641975306,16.17
O=C1C=C(O)C(=O)C(CCCc2ccccc2)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4050632911392405,5.67
CCCCCCCCC1=C(O)C(=O)C(C)=CC(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5774647887323944,7.93
CCCCCCCCCC1=C(O)C(=O)C(C)(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5352112676056338,4.26
CCCCCCCCC/C=C1\C(=O)C(=O)C(O)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4935064935064935,8.71
CCCCCCCCc1cc(OC)cc(CCC2=C(O)C(=O)C=C(O)C2=O)n1,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5813953488372093,11.32
O=C1C=C(O)C(=O)C(CCCCCCCO)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.6984126984126984,6.45
CCCCCC/C=C/CC1=C(O)C(=O)C=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5714285714285714,6.79
CCCCC1=C(O)C(=O)C(=O)C(=O)C1,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3013698630136986,9.03
CCCCC/C=C/CCCC1=C(O)C(=O)C(O)C=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3780487804878049,8.19
CCCCCCCCSCC1=C(O)C(=O)C=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.6865671641791045,6.89
CCCCCCCOc1cc(CCC2=C(O)C(=O)C(O)C2=O)ccc1C,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3684210526315789,16.57
CCCCCCCCN/C=C1/C(=O)C(=O)C(=O)C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.375,13.29
CCCCCCCCCC/C=C1/C(=O)C(=O)C(OC)C=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4875,16.29
CCCCCCCCc1cc(O)c(=O)n(O)c1,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4189189189189189,8.36
CCCCCCCCC1=C(O)C(O)C(C(C)C)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4805194805194805,7.95
O=C1C=C(O)C(=O)C(CCCCCCO)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.6507936507936508,4.84
CCCCCCCCC/C=C/CC1=C(O)C(=O)CC(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.45121951219512196,9.62
CCCCCCCCC1=C(O)C(=O)C(C)(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.49295774647887325,3.59
CCCCCCCCc1cc(CC)c(=O)[nH]c(=O)c1,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4050632911392405,14.96
CCCCCCCCCOCC1=C(O)C(=O)C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4868421052631579,10.49
CCCCCCCCCC1=C(O)C(=O)C=C(O)C1,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5882352941176471,11.58
CCCCCCCCC/C=C1\C(=O)C(=O)C(C)(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4177215189873418,9.53
CCCCCC1=C(O)C(=O)C(=O)C(C)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.42857142857142855,7.1
CCCCCCCC1=C(O)C(=O)C(C)(C)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4794520547945205,5.67
CCCCCC1C(=O)C(=O)C(O)=C(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3157894736842105,9.33
CCCCCCCCC1=C(O)C(=O)C(C)(C)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5205479452054794,5.95
CCCCCc1cccc(CCCC2=C(O)C(=O)C=C(O)C2=O)c1,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5432098765432098,10.68
CCCCCCOCC1=C(O)C(=O)C=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5970149253731343,6.18
CCCCCCCCC1=C(O)C(=O)C(=O)CC1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5285714285714286,5.86
CCCCCCCC1=C(O)C(=O)C(C)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5362318840579711,4.65
CCCCCCCC1=C(O)C(O)=C(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5303030303030303,6.41
CCCCCCCCC1=C(O)C(=O)C(O)=C(CCC)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5753424657534246,10.8
CCCCCCCCOCC1=C(O)C(=O)C(O)(CCC)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4470588235294118,18.96
CCCCCCCC1=C(O)C(OC)=C(O)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5138888888888888,8.57
CCCCCCCC1=C(O)C(=O)C(C)=CC(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4931506849315068,6.53
COCCCCCCCC1=C(O)C(=O)C(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.40789473684210525,11.25
CCCC1=C(O)C(=O)C(=O)C(O)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3055555555555556,6.25
CCCCCC1=C(CO)C(=O)C(C)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.410958904109589,12.33
CCCCCCCC1=C(O)C(=O)C(CC)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5352112676056338,6.28
CCCCCC1CC(O)=C(O)C(=O)C(O)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3037974683544304,9.94
O=C1C=C(O)C(=O)C(CCCCc2ccccc2)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4430379746835443,5.75
CCCCCCCCC1=C(O)C(O)C(C(=O)O)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5,10.93
CCCCCC(C)C1=C(O)C(=O)C=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4714285714285714,5.83
CCCCCCCCC1=C(O)C(=O)C(O)(CC)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5405405405405406,7.55
CC(C)(C)CCCCCC1=C(O)C(=O)C(=O)C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.34146341463414637,10.88
CCCCCC1=C(O)C(=O)C(O)=C(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4492753623188406,5.94
CCCCCCOCC1=C(O)C(=O)C(O)=C(CCCCCC)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5308641975308642,12.38
CCCCCCCCCCC1=C(O)C(=O)C(C#N)=CC1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5263157894736842,15.91
CCCCCCC1=C(O)C(=O)C(C)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4507042253521127,8.97
O=C1C=C(O)C(=O)C(CCc2cccs2)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3815789473684211,11.41
CCCCCCCCCCC1=C(O)C(=O)C(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5942028985507246,5.65
CCCCC/C=C/CCCC1=C(O)C(=O)C=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.6142857142857143,7.66
CCCCCC/C=C/COC1=C(O)C(=O)C(O)C=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.32941176470588235,13.79
CCCCCCCC[C@]1(O)C(=O)C=C(O)C(=O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4931506849315068,13.22
CCCCCC1=C(O)C(=O)C(C)=C(O)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4492753623188406,5.22
CCCCCCCC1=C(O)C(=O)C(C)CC1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.4444444444444444,7.56
C=CCCCCCCC1=C(O)C(=O)C(O)C(C)=C1O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.3625,10.2
CCCCCCCC1=C(O)C(O)=CC1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.5967741935483871,12.08
CCCCC1=C(O)C(=O)C(O)=C(C)C1=O,1,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.38571428571428573,5.53
