smiles,smiles_canon,MW,logP,HBD,HBA,TPSA,tanimoto_to_seed,hERG,Skin_Reaction,AMES,ClinTox,Bioavailability_Ma,Solubility_AqSolDB,score
CCCCC1C(=O)C(O)=C(C)C(O)=C1O,CCCCC1C(=O)C(O)=C(C)C(O)=C1O,212.24499999999998,2.5351,3,4,77.76,0.4210526315789473,0.15423307,0.4811817,0.08846894,0.10695134,0.7943554,-1.3490658,0.5664928321356086
CC1=C(O)C(=O)C(O)=C1CC(C)C,CC1=C(O)C(=O)C(O)=C1CC(C)C,182.21899999999997,2.2593000000000005,2,3,57.53,0.4423076923076923,0.106794104,0.56873435,0.0828406,0.06709003,0.86673605,-1.5211359,0.5309638218554698
CCCCC(C)C1=C(O)C(=O)C(O)=C(C)C1=O,CCCCC(C)C1=C(O)C(=O)C(O)=C(C)C1=O,238.28299999999996,2.6086,2,4,74.6,0.5925925925925926,0.1677254,0.62372696,0.09600155,0.053472124,0.7700689,-2.7161841,0.5191692967938782
CCCCCCC1=C(O)C(=O)C(C)(C)C(=O)C1=O,CCCCCCC1=C(O)C(=O)C(C)(C)C(=O)C1=O,252.30999999999995,2.516000000000001,1,4,71.44,0.5084745762711864,0.15145366,0.7095033,0.10048475,0.026800921,0.6851957,-3.0467477,0.5183061189473791
CCCCC1=C(O)C(=O)C(O)=C(C(C)C)C1=O,CCCCC1=C(O)C(=O)C(O)=C(C(C)C)C1=O,238.28299999999996,2.608600000000001,2,4,74.6,0.6226415094339622,0.174242,0.6395093,0.12628429,0.059348524,0.7579534,-2.57126,0.5113995042870226
CCCCCC1=C(O)C(=O)C(=O)C(CCC)C1=O,CCCCCC1=C(O)C(=O)C(=O)C(CCC)C1=O,252.30999999999995,2.516000000000001,1,4,71.44,0.5,0.17702591,0.69013023,0.16994505,0.0382211,0.7587251,-3.105925,0.5097907929953669
CCCCCC1=C(O)C(=O)C(O)=C(C)C1=O,CCCCCC1=C(O)C(=O)C(O)=C(C)C1=O,224.25599999999997,2.3626000000000005,2,4,74.6,1.0,0.15505388,0.6672781,0.10639627,0.06758581,0.76681364,-2.472361,0.5080808357528895
CCCCC1=C(O)C(=O)C(C)(C)C1=O,CCCCC1=C(O)C(=O)C(C)(C)C1=O,196.24599999999995,2.1667000000000005,1,3,54.37,0.4181818181818181,0.06523955,0.67159545,0.07087336,0.023031097,0.8104887,-1.7008327,0.5073331305433726
CCCCC1=C(O)C(=O)C(O)=C(CC)C1=O,CCCCC1=C(O)C(=O)C(O)=C(CC)C1=O,224.25599999999994,2.3626000000000005,2,4,74.6,0.68,0.14815618,0.6873292,0.12591507,0.06933798,0.7496871,-2.227796,0.504175354796976
CCCCCC1=C(O)C(=O)C(=O)C(C(C)C)C1=O,CCCCCC1=C(O)C(=O)C(=O)C(C(C)C)C1=O,252.30999999999997,2.3719,1,4,71.44,0.5084745762711864,0.15914607,0.66896707,0.16298753,0.033536494,0.7540979,-3.1173983,0.5036244602579267
