leader,rank,tanimoto,src,match_smiles,match_name,row_idx
R12_4,1,1.0,r14_candidates,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,199
R12_4,2,1.0,r15_brics,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,0
R12_4,3,0.679,r14_candidates,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,14
R12_4,4,0.679,r15_brics,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,20
R12_4,5,0.667,r14_candidates,OCc1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,26
R12_4,6,0.667,r14_candidates,Oc1ccc2c(c1)OCC(C1Oc3cc(O)cc(O)c3CC1c1cc(O)c(O)c(O)c1)C2,brics_massive,180
R12_4,7,0.655,r14_candidates,Oc1ccc2c(c1)OCC(OC1Cc3c(O)cc(O)cc3OC1C1COc3cc(O)ccc3C1)C2,brics_massive,49
R12_4,8,0.643,r14_candidates,Oc1ccc2c(c1)OCC(C=CC1Cc3c(O)cc(O)cc3OC1C1COc3cc(O)ccc3C1)C2,brics_massive,22
R12_4,9,0.643,r14_candidates,Oc1ccc2c(c1)OCC(C1Oc3cc(O)cc(O)c3CC1Oc1cc(O)c(O)c(O)c1)C2,brics_massive,104
R12_4,10,0.633,r14_candidates,OCc1cc(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,21
R12_4,11,0.632,r14_candidates,C=CC(C)(C)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,19
R12_4,12,0.632,r14_candidates,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,33
R12_4,13,0.632,r15_brics,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,24
R12_4,14,0.6,r14_candidates,O=C(Oc1cc(O)c(O)c(O)c1)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,124
R12_4,15,0.59,r14_candidates,COc1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,20
R12_4,16,0.59,r14_candidates,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,111
R12_4,17,0.571,r14_candidates,COc1cc(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,18
R12_4,18,0.571,r14_candidates,COc1ccc(O)c(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,198
R12_4,19,0.554,r14_candidates,C=CC(C)(C)c1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,4
R12_4,20,0.554,r14_candidates,C=CC(C)(C)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,24
R12_4,21,0.554,r14_candidates,COC(=O)c1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,72
R12_4,22,0.554,r14_candidates,COC(=O)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,146
