leader,rank,tanimoto,herb_name,herb_source_botanical,herb_source_korean,herb_cid,herb_smiles,herb_mw,herb_logp,herb_hbd,herb_hba,herb_tpsa,herb_rotbonds,herb_category,herb_target_hint,herb_evidence_level,herb_khp_listed,herb_notes,herb_khp_listed_v2,herb_bokp_barcode,herb_eca233_ratio,herb_clinical_evidence_level_v2,herb_clinical_reference,herb_logkp_predicted,herb_topical_suitability
R12_4,1,0.303,EGCG,Camellia sinensis,녹차,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,458.4,1.2,8,11,197.0,4,multi(scar+aging+pigment),"MMP-1, JAK, MITF",clinical,no,,False,,0.0,"RCT (n=62, scar)","Sci Direct 2019 — topical EGCG vs placebo, scar thickness 감소",-4.63,poor
R12_4,2,0.3,Naringenin,Citrus,감귤,932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.25,2.4,3,5,87.0,1,photoaging+pigment,Tyrosinase,pre-clinical,no,,False,,0.0,,,-2.69,medium
R12_4,3,0.282,Glabridin,Glycyrrhiza glabra,감초,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.4,3.9,2,4,58.9,1,pigmentation,Tyrosinase,pre-clinical,no,,False,,0.0,RCT (whitening),PMID:25663985 (Korean cosmeceutical),-1.92,good
R12_4,4,0.282,Theaflavin,Camellia sinensis,홍차,135403798,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4[C@@H]5[C@@H](CC6=C(C=C(C=C6O5)O)O)O)O)O)C(=O)C(=C3)O)O,564.5,2.4,9,12,218.0,2,photoaging+anti-inflam,MMP,pre-clinical,no,,False,,0.0,,,-4.4,poor
R12_4,5,0.26,Procyanidin B2,Malus domestica/사과,-,122738,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.5,2.4,10,12,221.0,3,alopecia,hair growth,pre-clinical,no,,False,,0.0,,,-4.58,poor
R12_11,1,0.278,Glabridin,Glycyrrhiza glabra,감초,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.4,3.9,2,4,58.9,1,pigmentation,Tyrosinase,pre-clinical,no,,False,,0.0,RCT (whitening),PMID:25663985 (Korean cosmeceutical),-1.92,good
R12_11,2,0.262,Formononetin,Astragalus,황기,5280378,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,268.26,2.8,1,4,55.8,2,alopecia+photoaging,-,pre-clinical,yes,,False,,0.0,,,-2.4,medium
R12_11,3,0.255,Oxyresveratrol,Morus alba,상백피,5281717,C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O,244.24,2.8,4,4,80.9,2,pigment+photoaging,Tyrosinase,pre-clinical,yes,,False,,0.0,,,-2.17,medium
R12_11,4,0.234,Naringenin,Citrus,감귤,932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.25,2.4,3,5,87.0,1,photoaging+pigment,Tyrosinase,pre-clinical,no,,False,,0.0,,,-2.69,medium
R12_11,5,0.23,Ferulic acid,Angelica sinensis / Cnidium,당귀/천궁,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1.5,2,4,66.8,3,scar+photoaging,"antioxidant, COL1A1",clinical+OTC,yes,SkinCeuticals CEF,False,,0.0,RCT (anti-aging),다수,-2.84,medium
R12_23,1,0.338,EGCG,Camellia sinensis,녹차,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,458.4,1.2,8,11,197.0,4,multi(scar+aging+pigment),"MMP-1, JAK, MITF",clinical,no,,False,,0.0,"RCT (n=62, scar)","Sci Direct 2019 — topical EGCG vs placebo, scar thickness 감소",-4.63,poor
R12_23,2,0.297,Naringenin,Citrus,감귤,932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.25,2.4,3,5,87.0,1,photoaging+pigment,Tyrosinase,pre-clinical,no,,False,,0.0,,,-2.69,medium
R12_23,3,0.28,Glabridin,Glycyrrhiza glabra,감초,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.4,3.9,2,4,58.9,1,pigmentation,Tyrosinase,pre-clinical,no,,False,,0.0,RCT (whitening),PMID:25663985 (Korean cosmeceutical),-1.92,good
