  ACTA2: 377 res, 7 Cys (6 buried)
  AR: 920 res, 27 Cys (25 buried)
  COL1A1: 1464 res, 18 Cys (18 buried)
  COL3A1: 1466 res, 22 Cys (22 buried)
  CTGF: 349 res, 39 Cys (39 buried)
  FAP: 760 res, 12 Cys (12 buried)
  LOX: 417 res, 12 Cys (10 buried)
  MITF: 526 res, 10 Cys (8 buried)
  MMP1: 469 res, 3 Cys (3 buried)
  MMP3: 477 res, 5 Cys (4 buried)
  MMP9: 707 res, 19 Cys (19 buried)
  PDGFRB: 1106 res, 19 Cys (13 buried)
  POSTN: 836 res, 11 Cys (11 buried)
  SIRT1: 747 res, 19 Cys (17 buried)
  SRD5A2: 254 res, 5 Cys (5 buried)
  TGFB1: 390 res, 12 Cys (12 buried)
  TYR: 529 res, 17 Cys (16 buried)
OK: 17 structures characterized
