gene,n_atoms,n_residues,radius_nm,cys_total,cys_buried
ACTA2,2944,377,4.420570006954052,7,6
AR,6958,920,9.932352245531407,27,25
COL1A1,9785,1464,11.201049572306768,18,18
COL3A1,9753,1466,11.307867121165708,22,22
CTGF,2627,349,9.456484039394143,39,39
FAP,6205,760,9.953803079375021,12,12
LOX,3312,417,7.389281816188325,12,10
MITF,4107,526,8.64466712772985,10,8
MMP1,3826,469,7.768380540937661,3,3
MMP3,3819,477,8.000094182451479,5,4
MMP9,5538,707,8.946896332762744,19,19
PDGFRB,8716,1106,8.870555630605063,19,13
POSTN,6556,836,9.112731030974263,11,11
SIRT1,5732,747,8.263751811787225,19,17
SRD5A2,2017,254,3.598932594755987,5,5
TGFB1,3117,390,10.716561592464009,12,12
TYR,4253,529,9.440531234268633,17,16
